ticker,LTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-0.7407
2000-01-05,0.7463
2000-01-06,5.1852
2000-01-07,-1.4085
2000-01-10,2.8571
2000-01-11,-1.3889
2000-01-12,0.7042
2000-01-13,-2.0979
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,-5.7143
2000-01-20,0.0
2000-01-21,-3.0303
2000-01-24,-3.125
2000-01-25,-4.0323
2000-01-26,-0.8403
2000-01-27,-0.8475
2000-01-28,4.2735
2000-01-31,-4.918
2000-02-01,2.5862
2000-02-02,-2.521
2000-02-03,1.7241
2000-02-04,0.0
2000-02-07,2.5423999999999998
2000-02-08,-7.438
2000-02-09,-3.5714
2000-02-10,-4.6296
2000-02-11,0.0
2000-02-14,-0.9709
2000-02-15,4.902
2000-02-16,-0.9346
2000-02-17,-2.8302
2000-02-18,-0.9709
2000-02-22,-4.902
2000-02-23,-3.0928
2000-02-24,2.1277
2000-02-25,-2.0833
2000-02-28,1.0638
2000-02-29,-1.0526
2000-03-01,-4.2553
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,-2.2222
2000-03-07,-1.1364
2000-03-08,2.2989
2000-03-09,1.1236
2000-03-10,-1.1111
2000-03-13,5.2135
2000-03-14,-1.1236
2000-03-15,0.0
2000-03-16,1.1364
2000-03-17,-1.1236
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,-1.1364
2000-03-23,1.1494
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,-4.5455
2000-03-29,2.3810000000000002
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,0.0
2000-04-04,-2.3256
2000-04-05,-2.3810000000000002
2000-04-06,3.6585
2000-04-07,1.1764999999999999
2000-04-10,-1.1628
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,1.1764999999999999
2000-04-14,-2.3256
2000-04-17,-1.1905000000000001
2000-04-18,0.0
2000-04-19,-2.4096
2000-04-20,1.2346
2000-04-24,-2.439
2000-04-25,-1.25
2000-04-26,-6.3291
2000-04-27,16.2162
2000-04-28,10.4651
2000-05-01,1.0526
2000-05-02,-5.2083
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,3.2967
2000-05-08,-2.1277
2000-05-09,0.0
2000-05-10,-1.087
2000-05-11,0.0
2000-05-12,2.1978
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,-1.0753
2000-05-18,0.0
2000-05-19,1.087
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,3.2258
