ticker,IT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,9.0164
2000-01-04,-7.5188
2000-01-05,-4.065
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,5.0847
2000-01-11,2.4194
2000-01-12,3.5433
2000-01-13,0.3802
2000-01-14,-3.0303
2000-01-18,1.5625
2000-01-19,4.6154
2000-01-20,0.3676
2000-01-21,-0.3663
2000-01-24,-2.2059
2000-01-25,-3.0075
2000-01-26,-2.7132
2000-01-27,2.3904
2000-01-28,-1.1673
2000-01-31,-1.9685000000000001
2000-02-01,1.6064
2000-02-02,-2.3715
2000-02-03,-1.2146
2000-02-04,-0.4098
2000-02-07,-2.4691
2000-02-08,-2.1097
2000-02-09,-2.5862
2000-02-10,1.3274
2000-02-11,1.7467000000000001
2000-02-14,-2.1459
2000-02-15,-1.3158
2000-02-16,-1.3333
2000-02-17,-1.8018
2000-02-18,-1.8349
2000-02-22,-0.9346
2000-02-23,1.4151
2000-02-24,-0.4651
2000-02-25,-5.1402
2000-02-28,8.867
2000-02-29,3.6199
2000-03-01,1.7467000000000001
2000-03-02,-1.7167
2000-03-03,1.7467000000000001
2000-03-06,-3.0043
2000-03-07,1.3274
2000-03-08,-0.8734
2000-03-09,1.3216
2000-03-10,-2.1739
2000-03-13,-1.7778
2000-03-14,-2.2624
2000-03-15,1.8519
2000-03-16,5.9091000000000005
2000-03-17,-3.4335
2000-03-20,1.3333
2000-03-21,8.7719
2000-03-22,43.1452
2000-03-23,-9.5775
2000-03-24,4.9844
2000-03-27,-1.7804
2000-03-28,-8.1571
2000-03-29,-4.2763
2000-03-30,-2.4055
2000-03-31,-11.2676
2000-04-03,1.5873
2000-04-04,-1.9531
2000-04-05,-1.5936
2000-04-06,-0.4049
2000-04-07,1.626
2000-04-10,5.2
2000-04-11,0.7605
2000-04-12,-6.0377
2000-04-13,-4.4177
2000-04-14,-12.605
2000-04-17,-1.4423
2000-04-18,-0.4878
2000-04-19,1.4706000000000001
2000-04-20,-0.4831
2000-04-24,0.9709
2000-04-25,7.6923
2000-04-26,-1.7856999999999998
2000-04-27,-0.9091
2000-04-28,-0.9174
2000-05-01,7.4074
2000-05-02,-2.1552
2000-05-03,-4.8458
2000-05-04,0.9259
2000-05-05,-1.3761
2000-05-08,-5.1163
2000-05-09,1.4706000000000001
2000-05-10,-3.3816
2000-05-11,0.0
2000-05-12,-3.0
2000-05-15,2.0619
2000-05-16,-0.5051
2000-05-17,1.0152
2000-05-18,2.5126
