ticker,OMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.5445
2000-01-04,-1.444
2000-01-05,2.3810000000000002
2000-01-06,-0.5367
2000-01-07,-0.5396
2000-01-10,4.5208
2000-01-11,0.346
2000-01-12,1.8965999999999998
2000-01-13,2.7073
2000-01-14,-3.1301
2000-01-18,0.3401
2000-01-19,0.0
2000-01-20,1.0169
2000-01-21,-1.6779
2000-01-24,-2.2184
2000-01-25,1.9197
2000-01-26,-2.0548
2000-01-27,1.3986
2000-01-28,4.3103
2000-01-31,-0.4959
2000-02-01,0.6645
2000-02-02,-0.6601
2000-02-03,0.8203
2000-02-04,-0.3193
2000-02-07,-0.8264
2000-02-08,-2.1667
2000-02-09,-2.8961
2000-02-10,-1.4035
2000-02-11,0.7117
2000-02-14,0.0
2000-02-15,-0.3534
2000-02-16,-2.8794
2000-02-17,2.1978
2000-02-18,-2.1505
2000-02-22,1.4652
2000-02-23,0.361
2000-02-24,5.3957
2000-02-25,-2.3891
2000-02-28,0.3497
2000-02-29,3.8327999999999998
2000-03-01,2.349
2000-03-02,-2.2951
2000-03-03,1.3423
2000-03-06,-2.4834
2000-03-07,-6.961
2000-03-08,7.6642
2000-03-09,-4.5763
2000-03-10,1.5986
2000-03-13,-1.3986
2000-03-14,-0.5319
2000-03-15,4.0998
2000-03-16,6.1644
2000-03-17,-1.9355
2000-03-20,0.0
2000-03-21,1.3158
2000-03-22,2.9221
2000-03-23,-0.9464
2000-03-24,3.0255
2000-03-27,2.473
2000-03-28,-2.2624
2000-03-29,4.321
2000-03-30,0.8876
2000-03-31,6.7449
2000-04-03,-1.9231
2000-04-04,-5.8824
2000-04-05,4.1667
2000-04-06,0.0
2000-04-07,0.8571
2000-04-10,1.2748
2000-04-11,1.6783000000000001
2000-04-12,1.238
2000-04-13,4.4837
2000-04-14,-5.5917
2000-04-17,-0.551
2000-04-18,-0.4155
2000-04-19,-2.9207
2000-04-20,0.0
2000-04-24,-1.1461000000000001
2000-04-25,0.8696
2000-04-26,0.2874
2000-04-27,0.0
2000-04-28,5.4441
2000-05-01,-1.3587
2000-05-02,-0.1377
2000-05-03,-0.2759
2000-05-04,0.4149
2000-05-05,3.5813
2000-05-08,-1.7287
2000-05-09,-2.8417
2000-05-10,1.1142
2000-05-11,7.989
2000-05-12,0.7653
2000-05-15,-5.0633
2000-05-16,0.9333
2000-05-17,-0.6922
2000-05-18,1.3333
2000-05-19,3.2895
2000-05-22,1.4013
2000-05-23,-1.5074999999999998
