ticker,DCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8571
2000-01-04,-3.2086
2000-01-05,-0.8287
2000-01-06,-0.8357
2000-01-07,2.5281000000000002
2000-01-10,1.9178
2000-01-11,-2.1505
2000-01-12,-0.2747
2000-01-13,-2.2039
2000-01-14,-0.5634
2000-01-18,-0.8499
2000-01-19,0.0
2000-01-20,1.7143000000000002
2000-01-21,-1.6854
2000-01-24,-3.4286
2000-01-25,0.2959
2000-01-26,-0.295
2000-01-27,-2.071
2000-01-28,0.3021
2000-01-31,-0.6024
2000-02-01,-0.303
2000-02-02,1.2158
2000-02-03,3.003
2000-02-04,-0.2915
2000-02-07,-0.5848
2000-02-08,1.7647
2000-02-09,1.7341
2000-02-10,-2.5568
2000-02-11,-2.0408
2000-02-14,0.5952
2000-02-15,-1.1834
2000-02-16,-0.2994
2000-02-17,-2.7027
2000-02-18,1.5432000000000001
2000-02-22,1.5198
2000-02-23,4.2275
2000-02-24,-2.8818
2000-02-25,0.8902
2000-02-28,2.6471
2000-02-29,4.298
2000-03-01,2.4725
2000-03-02,-1.3405
2000-03-03,1.087
2000-03-06,1.0753
2000-03-07,-1.8617
2000-03-08,0.813
2000-03-09,1.8817
2000-03-10,-0.5277
2000-03-13,-2.3872999999999998
2000-03-14,0.2717
2000-03-15,0.542
2000-03-16,3.7736
2000-03-17,-0.7792
2000-03-20,-3.6649000000000003
2000-03-21,1.6303999999999998
2000-03-22,2.4064
2000-03-23,-3.6554
2000-03-24,-0.271
2000-03-27,0.8152
2000-03-28,-0.8086
2000-03-29,0.2717
2000-03-30,0.0
2000-03-31,-2.168
2000-04-03,1.108
2000-04-04,-1.6438000000000001
2000-04-05,-1.9499
2000-04-06,1.9886
2000-04-07,0.8357
2000-04-10,-1.105
2000-04-11,-0.838
2000-04-12,1.6901000000000002
2000-04-13,0.0
2000-04-14,-3.0471
2000-04-17,-0.8571
2000-04-18,2.5937
2000-04-19,0.2809
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,3.9215999999999998
2000-04-26,0.0
2000-04-27,-2.6954000000000002
2000-04-28,3.0471
2000-05-01,-0.5376
2000-05-02,0.0
2000-05-03,0.8108
2000-05-04,2.4129
2000-05-05,0.7853
2000-05-08,-0.5195
2000-05-09,0.5222
2000-05-10,-2.0779
2000-05-11,1.3263
2000-05-12,0.0
2000-05-15,0.2618
2000-05-16,1.3054999999999999
2000-05-17,0.0
2000-05-18,-0.2577
2000-05-19,-0.7752
