ticker,PPMIQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9205999999999999
2000-01-04,-1.6971
2000-01-05,-0.3984
2000-01-06,0.1333
2000-01-07,-0.6658
2000-01-10,-0.2681
2000-01-11,-2.6882
2000-01-12,-0.6906
2000-01-13,0.1391
2000-01-14,-0.8333
2000-01-18,-1.4006
2000-01-19,3.125
2000-01-20,-3.8567
2000-01-21,-5.4441
2000-01-24,-4.2424
2000-01-25,-2.2152
2000-01-26,7.767
2000-01-27,2.7027
2000-01-28,0.2924
2000-01-31,-3.7901
2000-02-01,3.6364
2000-02-02,-1.6082
2000-02-03,0.8915
2000-02-04,0.8837
2000-02-07,-0.7299
2000-02-08,-0.7353
2000-02-09,-3.5556
2000-02-10,-3.3794
2000-02-11,-5.7234
2000-02-14,-0.8432
2000-02-15,4.2517
2000-02-16,0.4894
2000-02-17,-3.8961
2000-02-18,-0.8446
2000-02-22,1.0221
2000-02-23,-2.6981
2000-02-24,-1.2132
2000-02-25,0.1754
2000-02-28,0.0
2000-02-29,1.7513
2000-03-01,-1.7212
2000-03-02,-2.4518
2000-03-03,0.7181
2000-03-06,-0.3565
2000-03-07,-1.9678
2000-03-08,-2.1898
2000-03-09,4.1045
2000-03-10,-2.6882
2000-03-13,-0.1842
2000-03-14,1.845
2000-03-15,3.2609
2000-03-16,12.2807
2000-03-17,-5.625
2000-03-20,-0.9934
2000-03-21,4.5151
2000-03-22,2.4
2000-03-23,4.8438
2000-03-24,0.2981
2000-03-27,-2.2288
2000-03-28,0.0
2000-03-29,4.6565
2000-03-30,7.8488
2000-03-31,2.2911
2000-04-03,1.4493
2000-04-04,1.2987
2000-04-05,-2.5641
2000-04-06,1.8420999999999998
2000-04-07,-1.4212
2000-04-10,0.6553
2000-04-11,-1.0417
2000-04-12,1.7105000000000001
2000-04-13,-0.3881
2000-04-14,-5.4545
2000-04-17,2.7473
2000-04-18,-0.2674
2000-04-19,0.0
2000-04-20,2.681
2000-04-24,1.0444
2000-04-25,3.23
2000-04-26,-3.3792
2000-04-27,-1.5544
2000-04-28,1.9737
2000-05-01,3.0968
2000-05-02,-1.0013
2000-05-03,-1.3906
2000-05-04,1.5385
2000-05-05,-1.5152
2000-05-08,1.1538
2000-05-09,-3.9290000000000003
2000-05-10,-1.847
2000-05-11,-1.0753
2000-05-12,-1.6303999999999998
2000-05-15,0.6906
2000-05-16,0.6859
2000-05-17,0.4087
2000-05-18,4.4776
2000-05-19,-1.2987
2000-05-22,2.3684
