ticker,RLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4706000000000001
2000-01-04,-2.9851
2000-01-05,-0.1923
2000-01-06,0.1927
2000-01-07,0.5769
2000-01-10,0.0
2000-01-11,-0.3824
2000-01-12,0.5758
2000-01-13,-0.1908
2000-01-14,3.0593
2000-01-18,0.1855
2000-01-19,0.7407
2000-01-20,-1.4706000000000001
2000-01-21,-1.1194
2000-01-24,-2.0755
2000-01-25,0.3854
2000-01-26,-0.3839
2000-01-27,-0.9634
2000-01-28,-0.7782
2000-01-31,-1.9607999999999999
2000-02-01,-1.2
2000-02-02,-1.8218999999999999
2000-02-03,2.268
2000-02-04,3.0242
2000-02-07,-3.5225
2000-02-08,10.7505
2000-02-09,-6.2271
2000-02-10,-2.1484
2000-02-11,0.1996
2000-02-14,-0.7968
2000-02-15,0.4016
2000-02-16,-1.0
2000-02-17,-0.8081
2000-02-18,-0.2037
2000-02-22,-0.8163
2000-02-23,0.2058
2000-02-24,0.2053
2000-02-25,-1.2295
2000-02-28,0.2075
2000-02-29,-1.2422
2000-03-01,-1.0482
2000-03-02,-2.1186
2000-03-03,-2.1645
2000-03-06,0.885
2000-03-07,-2.193
2000-03-08,-2.0179
2000-03-09,-1.1442
2000-03-10,-0.6944
2000-03-13,-1.1655
2000-03-14,0.2358
2000-03-15,3.5294
2000-03-16,3.1818
2000-03-17,2.6432
2000-03-20,-3.0043
2000-03-21,3.5398
2000-03-22,4.2735
2000-03-23,5.123
2000-03-24,0.0
2000-03-27,0.5848
2000-03-28,0.1938
2000-03-29,0.6267
2000-03-30,0.7722
2000-03-31,2.682
2000-04-03,0.3731
2000-04-04,-0.7435
2000-04-05,1.1236
2000-04-06,0.3704
2000-04-07,-0.369
2000-04-10,-2.2222
2000-04-11,-3.0303
2000-04-12,1.5625
2000-04-13,-0.3846
2000-04-14,-1.1583
2000-04-17,0.5859
2000-04-18,0.3883
2000-04-19,-0.7737
2000-04-20,-0.5848
2000-04-24,0.5882
2000-04-25,-0.7797
2000-04-26,0.5894
2000-04-27,0.3906
2000-04-28,0.0
2000-05-01,-0.3891
2000-05-02,-0.9766
2000-05-03,-0.9862
2000-05-04,0.5976
2000-05-05,2.9703
2000-05-08,-1.1538
2000-05-09,0.1946
2000-05-10,1.7476
2000-05-11,3.4351
2000-05-12,0.369
2000-05-15,0.0
2000-05-16,1.1029
2000-05-17,-0.3636
2000-05-18,-0.7299
2000-05-19,0.1838
2000-05-22,0.5505
2000-05-23,-0.7299
