ticker,DIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.1368
2000-01-04,5.8577
2000-01-05,4.1502
2000-01-06,-3.9848
2000-01-07,-1.581
2000-01-10,15.261
2000-01-11,1.0453
2000-01-12,-7.069
2000-01-13,3.3395
2000-01-14,-3.5907
2000-01-18,2.7933
2000-01-19,0.7246
2000-01-20,-3.2374
2000-01-21,-2.6022
2000-01-24,1.7176
2000-01-25,12.5704
2000-01-26,-2.3333
2000-01-27,1.3652
2000-01-28,-1.0101
2000-01-31,-1.1905000000000001
2000-02-01,-0.8606
2000-02-02,3.4722
2000-02-03,1.6779
2000-02-04,0.6601
2000-02-07,-0.3279
2000-02-08,-1.1513
2000-02-09,0.3328
2000-02-10,-1.99
2000-02-11,2.5381
2000-02-14,-2.3102
2000-02-15,-0.3378
2000-02-16,0.1695
2000-02-17,-1.1844000000000001
2000-02-18,-2.7397
2000-02-22,-5.9859
2000-02-23,2.2472
2000-02-24,-2.7473
2000-02-25,-6.5913
2000-02-28,5.6452
2000-02-29,3.8167999999999997
2000-03-01,2.0221
2000-03-02,-0.5405
2000-03-03,5.7971
2000-03-06,-1.3699
2000-03-07,0.0
2000-03-08,-2.9514
2000-03-09,3.7567
2000-03-10,-3.1034
2000-03-13,-0.5338
2000-03-14,-2.3256
2000-03-15,2.0147
2000-03-16,1.4363000000000001
2000-03-17,4.2478
2000-03-20,7.1307
2000-03-21,-0.6339
2000-03-22,3.3493
2000-03-23,2.6235
2000-03-24,-0.3008
2000-03-27,0.7541
2000-03-28,-1.9461
2000-03-29,-0.3053
2000-03-30,-1.3783
2000-03-31,2.4845
2000-04-03,1.3636
2000-04-04,-1.6442
2000-04-05,-2.7356
2000-04-06,1.0937999999999999
2000-04-07,1.391
2000-04-10,0.7622
2000-04-11,2.8744
2000-04-12,-5.7353
2000-04-13,-2.0281
2000-04-14,-0.9554
2000-04-17,-0.3215
2000-04-18,1.9355
2000-04-19,3.6391999999999998
2000-04-20,3.2061
2000-04-24,-4.7337
2000-04-25,0.6211
2000-04-26,4.6296
2000-04-27,-1.7699
2000-04-28,4.8048
2000-05-01,-3.7249
2000-05-02,2.3810000000000002
2000-05-03,-4.0698
2000-05-04,-3.7879
2000-05-05,-0.315
2000-05-08,2.5276
2000-05-09,0.4622
2000-05-10,0.7669
2000-05-11,0.1522
2000-05-12,-0.7693
2000-05-15,0.0095
2000-05-16,3.3691
2000-05-17,0.1481
2000-05-18,-2.5148
2000-05-19,-0.3035
