ticker,CULP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.9505
2000-01-04,-3.7736
2000-01-05,-2.9412000000000003
2000-01-07,-2.0202
2000-01-10,1.0309
2000-01-11,-1.0204
2000-01-12,3.0928
2000-01-13,0.0
2000-01-14,-1.0
2000-01-18,1.0101
2000-01-19,-1.0
2000-01-20,1.0101
2000-01-21,-1.0
2000-01-24,-2.0202
2000-01-25,2.0619
2000-01-26,2.0202
2000-01-27,0.9901
2000-01-28,-5.8824
2000-01-31,3.125
2000-02-01,-1.0101
2000-02-02,2.0408
2000-02-03,1.0
2000-02-04,-0.9901
2000-02-07,-2.0
2000-02-08,1.0204
2000-02-09,1.0101
2000-02-10,3.0
2000-02-11,-2.9126
2000-02-14,40.0
2000-02-15,-7.1429
2000-02-16,-4.6154
2000-02-17,6.4516
2000-02-18,0.0
2000-02-22,-3.0303
2000-02-23,-4.6875
2000-02-24,-10.6557
2000-02-25,-7.3394
2000-02-28,0.0
2000-02-29,-2.9703
2000-03-01,-1.0204
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,0.0
2000-03-08,2.0619
2000-03-09,-1.0101
2000-03-10,-3.0612
2000-03-13,1.0526
2000-03-14,-2.0833
2000-03-15,0.0
2000-03-16,4.2553
2000-03-17,-3.0612
2000-03-20,1.0526
2000-03-21,-2.0833
2000-03-22,2.1277
2000-03-23,2.0833
2000-03-24,1.0204
2000-03-27,1.0101
2000-03-28,-1.0
2000-03-29,-3.0303
2000-03-30,-2.0833
2000-03-31,-7.9149
2000-04-03,-3.4884
2000-04-04,2.4096
2000-04-05,-1.1764999999999999
2000-04-06,1.1905000000000001
2000-04-07,2.3529
2000-04-10,0.0
2000-04-12,3.4483
2000-04-13,-5.5556
2000-04-14,-1.1764999999999999
2000-04-17,4.7619
2000-04-18,-2.2727
2000-04-19,2.3256
2000-04-20,2.2727
2000-04-24,-2.2222
2000-04-25,4.5455
2000-04-26,-3.2609
2000-04-27,4.4944
2000-04-28,0.0
2000-05-01,1.0753
2000-05-02,4.2553
2000-05-03,3.0612
2000-05-04,-1.9802
2000-05-05,4.0404
2000-05-08,-0.9709
2000-05-09,0.0
2000-05-10,-1.9607999999999999
2000-05-11,0.0
2000-05-12,1.0
2000-05-15,0.0
2000-05-16,5.9406
2000-05-17,-0.9346
2000-05-18,-1.8868
2000-05-19,0.9615
2000-05-22,0.9524
2000-05-23,-4.717
2000-05-24,0.9901
2000-05-25,0.0
2000-05-26,0.0
