ticker,FSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.1128
2000-01-04,0.8032
2000-01-05,2.3904
2000-01-06,-1.7265000000000001
2000-01-07,-5.7661
2000-01-10,7.1429
2000-01-11,0.3922
2000-01-12,0.7813
2000-01-13,0.0
2000-01-14,-0.3876
2000-01-18,0.0
2000-01-19,-0.3891
2000-01-20,1.1719
2000-01-21,-2.7027
2000-01-24,0.7937
2000-01-25,-3.1496
2000-01-26,-2.439
2000-01-27,8.3333
2000-01-28,-0.7692
2000-01-31,-2.7132
2000-02-01,2.7888
2000-02-02,-1.1628
2000-02-03,1.1764999999999999
2000-02-04,-2.3256
2000-02-07,3.5714
2000-02-08,-0.3831
2000-02-09,-1.5385
2000-02-10,-1.9531
2000-02-11,-3.1873
2000-02-14,0.4115
2000-02-15,1.2295
2000-02-16,0.8259
2000-02-17,0.0
2000-02-18,-2.0325
2000-02-22,-0.4149
2000-02-23,0.4167
2000-02-24,1.2448
2000-02-25,0.4098
2000-02-28,-2.0408
2000-02-29,-0.4167
2000-03-01,7.5314
2000-03-02,-1.5564
2000-03-03,-0.3953
2000-03-06,0.0
2000-03-07,-1.9841
2000-03-08,0.8097
2000-03-09,2.008
2000-03-10,-1.9685000000000001
2000-03-13,0.4016
2000-03-14,6.8
2000-03-15,-1.1236
2000-03-16,7.5758
2000-03-17,-4.2254
2000-03-20,1.1029
2000-03-21,0.0
2000-03-22,1.0909
2000-03-23,3.5971
2000-03-24,-2.0833
2000-03-27,-0.3546
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,2.847
2000-04-03,-3.1142
2000-04-04,0.3571
2000-04-05,2.847
2000-04-06,2.4221
2000-04-07,-2.3649
2000-04-10,-0.346
2000-04-11,1.0417
2000-04-12,-0.6873
2000-04-13,-1.3841
2000-04-14,-1.7544
2000-04-17,-1.0714
2000-04-18,9.0253
2000-04-19,5.6291
2000-04-20,0.3135
2000-04-24,-1.875
2000-04-25,3.1847
2000-04-26,0.0
2000-04-27,0.6173
2000-04-28,-0.3067
2000-05-01,5.5385
2000-05-02,-2.6239
2000-05-03,-3.2934
2000-05-04,-1.548
2000-05-05,1.8868
2000-05-08,-0.6173
2000-05-09,-1.8509
2000-05-10,-1.278
2000-05-11,6.7961
2000-05-12,-2.4242
2000-05-15,1.2422
2000-05-16,-0.9202
2000-05-17,-0.6192
2000-05-18,0.0
2000-05-19,-3.4268
2000-05-22,0.6452
2000-05-23,-1.6026
