ticker,TXN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,6.4683
2000-01-04,-4.2527
2000-01-05,-2.4112
2000-01-06,-2.7308
2000-01-07,0.5348
2000-01-10,6.8484
2000-01-11,-0.9334
2000-01-12,1.5074999999999998
2000-01-13,1.3614
2000-01-14,5.3724
2000-01-18,2.3175
2000-01-19,-0.7928
2000-01-20,3.0822
2000-01-21,-1.8411
2000-01-24,0.0705
2000-01-25,2.7057
2000-01-26,-1.2075
2000-01-27,0.4822
2000-01-28,-5.1991
2000-01-31,0.5834
2000-02-01,4.9884
2000-02-02,5.5249
2000-02-03,12.2513
2000-02-04,-1.4925
2000-02-07,1.8939
2000-02-08,3.2528
2000-02-09,1.4401
2000-02-10,2.9281
2000-02-11,-5.0862
2000-02-14,-2.1798
2000-02-15,0.2321
2000-02-16,0.6021
2000-02-17,5.3407
2000-02-18,-6.2937
2000-02-22,11.194
2000-02-23,-1.2584
2000-02-24,7.2218
2000-02-25,-2.8526
2000-02-28,1.7128999999999999
2000-02-29,6.5758
2000-03-01,-1.0534
2000-03-02,5.2471
2000-03-03,8.4538
2000-03-06,-0.8661
2000-03-07,-3.2258
2000-03-08,-4.4444
2000-03-09,4.6512
2000-03-10,0.4167
2000-03-13,-4.9793
2000-03-14,-8.8792
2000-03-15,-6.0703
2000-03-16,8.8435
2000-03-17,6.1719
2000-03-20,-1.6188
2000-03-21,2.4682
2000-03-22,3.9416
2000-03-23,-2.1067
2000-03-24,1.3271
2000-03-27,2.4779
2000-03-28,-1.1399
2000-03-29,-4.5073
2000-03-30,-4.5005
2000-03-31,-1.9157
2000-04-03,-5.7813
2000-04-04,-3.3167
2000-04-05,2.916
2000-04-06,6.6667
2000-04-07,4.0625
2000-04-10,-6.0811
2000-04-11,-4.0767
2000-04-12,-6.3333
2000-04-13,0.9786
2000-04-14,-2.0264
2000-04-17,7.1942
2000-04-18,0.6711
2000-04-19,-4.6667
2000-04-20,1.3986
2000-04-24,-2.5862
2000-04-25,7.6106
2000-04-26,-1.9737
2000-04-27,7.0755
2000-04-28,2.116
2000-05-01,-1.7652
2000-05-02,-2.8125
2000-05-03,-2.3714
2000-05-04,2.429
2000-05-05,-1.0852
2000-05-08,-4.551
2000-05-09,-3.7462999999999997
2000-05-10,-5.9708
2000-05-11,5.3622
2000-05-12,0.8929
2000-05-15,1.0177
2000-05-16,3.6356
2000-05-17,-2.0287
2000-05-18,0.1294
2000-05-19,-3.8346
2000-05-22,-4.1219
