ticker,NDB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.6189999999999998
2000-01-04,-2.0882
2000-01-05,-2.3697
2000-01-06,-0.7282
2000-01-07,-1.467
2000-01-10,1.737
2000-01-11,-3.4146
2000-01-12,7.3232
2000-01-13,9.1765
2000-01-14,-3.0172
2000-01-18,-0.8889
2000-01-19,-3.3632
2000-01-20,-4.6404
2000-01-21,-0.4866
2000-01-24,-7.335
2000-01-25,-2.3747
2000-01-26,1.6216
2000-01-27,-0.266
2000-01-28,-5.6
2000-01-31,-1.6949
2000-02-01,1.7241
2000-02-02,5.9322
2000-02-03,2.6667
2000-02-04,-1.039
2000-02-07,16.273
2000-02-08,1.1287
2000-02-09,-3.7946
2000-02-10,0.6961
2000-02-11,2.5346
2000-02-14,4.0449
2000-02-15,0.0
2000-02-16,-3.2397
2000-02-17,2.4554
2000-02-18,-5.4466
2000-02-22,-2.765
2000-02-23,25.1185
2000-02-24,9.0909
2000-02-25,-8.5069
2000-02-28,-5.8824
2000-02-29,46.7742
2000-03-01,3.5714
2000-03-02,-8.4881
2000-03-03,-3.7681
2000-03-06,8.4337
2000-03-07,-8.75
2000-03-08,-2.5875
2000-03-09,5.0
2000-03-10,9.5238
2000-03-13,-5.9783
2000-03-14,-4.9133
2000-03-15,0.152
2000-03-16,0.4552
2000-03-17,11.0272
2000-03-20,0.4082
2000-03-21,-0.271
2000-03-22,5.163
2000-03-23,5.0388
2000-03-24,11.562100000000001
2000-03-27,-3.8589
2000-03-28,3.6696999999999997
2000-03-29,-3.5398
2000-03-30,-7.3394
2000-03-31,-2.2277
2000-04-03,0.7595
2000-04-04,-9.2965
2000-04-05,0.0
2000-04-06,1.2465
2000-04-07,-1.5048
2000-04-10,2.2222
2000-04-11,-6.7935
2000-04-12,-8.309
2000-04-13,-7.1542
2000-04-14,-12.3288
2000-04-17,-9.7656
2000-04-18,7.1429
2000-04-19,-1.2121
2000-04-20,0.2045
2000-04-24,-5.102
2000-04-25,2.7957
2000-04-26,-3.1381
2000-04-27,1.5119
2000-04-28,-0.6383
2000-05-01,0.4283
2000-05-02,-0.8529
2000-05-03,-3.0108
2000-05-04,1.5521
2000-05-05,1.0917
2000-05-08,0.6479
2000-05-09,-3.0043
2000-05-10,-5.7522
2000-05-11,1.1737
2000-05-12,0.0
2000-05-15,1.1601
2000-05-16,-2.5229
2000-05-17,-7.7647
2000-05-18,20.4082
2000-05-19,-9.5339
2000-05-22,-4.918
2000-05-23,-3.9409
