ticker,CPU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.2346
2000-01-04,1.2195
2000-01-05,-1.2048
2000-01-06,2.439
2000-01-07,-2.3810000000000002
2000-01-10,12.1951
2000-01-11,-5.4348
2000-01-12,-1.1494
2000-01-13,1.1628
2000-01-14,1.1494
2000-01-18,-1.1364
2000-01-19,2.2989
2000-01-20,10.1124
2000-01-21,10.2041
2000-01-24,40.7407
2000-01-25,1.3158
2000-01-26,1.2987
2000-01-27,0.0
2000-01-28,-0.641
2000-01-31,0.0
2000-02-01,1.2903
2000-02-02,0.6369
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-3.1646
2000-02-09,1.3072
2000-02-10,-0.6452
2000-02-11,-0.6494
2000-02-14,0.0
2000-02-15,0.6536
2000-02-16,0.0
2000-02-17,1.2987
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,1.2821
2000-02-24,-0.6329
2000-02-25,1.2739
2000-02-28,0.0
2000-02-29,0.6289
2000-03-01,1.25
2000-03-02,-0.6173
2000-03-03,0.6211
2000-03-06,-0.6173
2000-03-07,0.0
2000-03-08,-0.6211
2000-03-09,0.625
2000-03-10,0.0
