ticker,NCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,1.1219999999999999
2000-01-05,2.0804
2000-01-06,0.8152
2000-01-07,-1.0782
2000-01-10,-1.2262
2000-01-11,-1.5171999999999999
2000-01-12,0.0
2000-01-13,-0.1401
2000-01-14,-0.1403
2000-01-18,-0.2809
2000-01-19,0.0
2000-01-20,-0.1408
2000-01-21,0.8463
2000-01-24,-1.1189
2000-01-25,-3.2532
2000-01-26,1.0234
2000-01-27,-0.4342
2000-01-28,-0.5814
2000-01-31,1.7544
2000-02-01,-1.1494
2000-02-02,-0.2907
2000-02-03,-0.2915
2000-02-04,-0.1462
2000-02-07,-0.4392
2000-02-08,-0.1471
2000-02-09,-2.0619
2000-02-10,-2.5564
2000-02-11,-0.6173
2000-02-14,-0.1553
2000-02-15,0.4666
2000-02-16,1.2384
2000-02-17,-0.9174
2000-02-18,-1.5432000000000001
2000-02-22,-0.9404
2000-02-23,0.6329
2000-02-24,1.2579
2000-02-25,-0.1553
2000-02-28,-2.084
2000-02-29,1.6026
2000-03-01,-0.1577
2000-03-02,-0.158
2000-03-03,2.6898999999999997
2000-03-06,0.7704
2000-03-07,2.7523
2000-03-08,0.0
2000-03-09,0.5952
2000-03-10,2.2189
2000-03-13,-1.013
2000-03-14,-1.0234
2000-03-15,2.6588000000000003
2000-03-16,1.295
2000-03-17,-1.2784
2000-03-20,2.3022
2000-03-21,0.7032
2000-03-22,1.6760000000000002
2000-03-23,2.4725
2000-03-24,-0.5362
2000-03-27,-1.752
2000-03-28,-1.2346
2000-03-29,-1.3889
2000-03-30,0.2817
2000-03-31,1.8258
2000-04-03,0.4138
2000-04-04,-2.6099
2000-04-05,-0.141
2000-04-06,-0.565
2000-04-07,-0.2841
2000-04-10,-1.2821
2000-04-11,1.5873
2000-04-12,1.4205
2000-04-13,-2.9412000000000003
2000-04-14,0.1443
2000-04-17,-0.2882
2000-04-18,2.3121
2000-04-19,-1.4123999999999999
2000-04-20,0.5731
2000-04-24,-0.1425
2000-04-25,0.428
2000-04-26,-1.7045
2000-04-27,-0.4335
2000-04-28,0.4354
2000-05-01,-0.578
2000-05-02,0.2907
2000-05-03,-0.4348
2000-05-04,4.3668
2000-05-05,0.0
2000-05-08,-1.2551999999999999
2000-05-09,0.4237
2000-05-10,-0.1406
2000-05-11,-3.3803
2000-05-12,-5.2478
2000-05-15,0.4615
2000-05-16,0.7657
2000-05-17,-0.304
2000-05-18,-0.3049
2000-05-19,-0.4587
