ticker,HYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,14.375
2000-01-04,8.1967
2000-01-05,10.101
2000-01-06,-1.3761
2000-01-07,-3.2558
2000-01-10,6.25
2000-01-11,4.5249
2000-01-12,0.4329
2000-01-13,3.0172
2000-01-14,2.0921
2000-01-18,-2.8689
2000-01-19,5.4852
2000-01-20,-0.4
2000-01-21,-1.6064
2000-01-24,-2.0408
2000-01-25,-1.25
2000-01-26,0.4219
2000-01-27,-0.8403
2000-01-28,-1.2711999999999999
2000-01-31,-0.4292
2000-02-01,-1.2931
2000-02-02,-2.1834
2000-02-03,-0.8929
2000-02-04,3.6036
2000-02-07,-0.8696
2000-02-08,0.8772
2000-02-09,6.9565
2000-02-10,0.0
2000-02-11,-0.4065
2000-02-14,-2.449
2000-02-15,0.0
2000-02-16,-0.4184
2000-02-17,0.8403
2000-02-18,-0.4167
2000-02-22,2.5105
2000-02-23,-3.2653
2000-02-24,1.6878
2000-02-25,-0.4149
2000-02-28,-1.25
2000-02-29,16.8776
2000-03-01,2.1661
2000-03-02,0.0
2000-03-03,-0.3534
2000-03-06,-3.9007
2000-03-07,-0.369
2000-03-08,-1.4815
2000-03-09,-1.1278
2000-03-10,-0.7605
2000-03-13,-3.4483
2000-03-14,1.5873
2000-03-15,-0.7813
2000-03-16,1.9685000000000001
2000-03-17,8.4942
2000-03-20,-2.847
2000-03-21,0.0
2000-03-22,1.4652
2000-03-23,0.0
2000-03-24,-1.083
2000-03-27,1.0949
2000-03-28,-1.083
2000-03-29,0.0
2000-03-30,-0.365
2000-03-31,0.3663
2000-04-03,-3.2847
2000-04-04,-15.8491
2000-04-05,-3.1390000000000002
2000-04-06,0.9259
2000-04-07,8.2569
2000-04-10,-1.2711999999999999
2000-04-11,-3.0043
2000-04-12,-5.7522
2000-04-13,-0.4695
2000-04-14,-3.7736
2000-04-17,-2.451
2000-04-18,4.5226
2000-04-19,5.7692
2000-04-20,3.6364
2000-04-24,-1.7544
2000-04-25,1.3393
2000-04-26,3.9648
2000-04-27,-3.3898
2000-04-28,2.6316
2000-05-01,3.8462
2000-05-02,-0.4115
2000-05-03,1.2397
2000-05-04,4.0816
2000-05-05,0.7843
2000-05-08,-3.5019
2000-05-09,4.0323
2000-05-10,-3.4884
2000-05-11,-0.8032
2000-05-12,-2.0243
2000-05-15,2.0661
2000-05-16,-2.834
2000-05-17,-2.5
2000-05-18,-0.4274
2000-05-19,-0.8584
2000-05-22,-4.329
2000-05-23,0.0
