ticker,LBYYQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3913
2000-01-04,-2.2272
2000-01-05,-2.0501
2000-01-06,-0.4651
2000-01-07,-0.2336
2000-01-10,-0.4684
2000-01-11,0.4706
2000-01-12,-1.6393
2000-01-13,1.4285999999999999
2000-01-14,-1.4085
2000-01-18,-0.2381
2000-01-19,1.1933
2000-01-20,-1.6509
2000-01-21,-0.2398
2000-01-24,0.4808
2000-01-25,-1.4354
2000-01-26,1.9417
2000-01-27,0.7143
2000-01-28,-2.1277
2000-01-31,-0.4831
2000-02-01,-1.6989999999999998
2000-02-02,3.2099
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,-0.4785
2000-02-08,1.6827
2000-02-09,0.7092
2000-02-10,0.4695
2000-02-11,-0.4673
2000-02-14,1.6432
2000-02-15,-1.8476
2000-02-16,1.4118
2000-02-17,0.6961
2000-02-18,-2.765
2000-02-22,-0.9479
2000-02-23,1.244
2000-02-24,-2.3697
2000-02-25,0.0
2000-02-28,1.4563
2000-02-29,2.8708
2000-03-01,-1.3953
2000-03-02,-0.2358
2000-03-03,-1.6548
2000-03-06,-0.4808
2000-03-07,-0.2415
2000-03-08,0.4843
2000-03-09,1.6867
2000-03-10,-0.7109
2000-03-13,-1.1933
2000-03-14,0.2415
2000-03-15,2.4096
2000-03-16,4.9412
2000-03-17,-3.1390000000000002
2000-03-20,-0.2315
2000-03-21,-1.1601
2000-03-22,0.939
2000-03-23,0.2326
2000-03-24,-1.3921000000000001
2000-03-27,0.4706
2000-03-28,-1.171
2000-03-29,1.8957000000000002
2000-03-30,0.4651
2000-03-31,1.3889
2000-04-03,0.9132
2000-04-04,0.0
2000-04-05,1.5836999999999999
2000-04-06,4.8998
2000-04-07,-0.6369
2000-04-10,1.0684
2000-04-11,0.8457
2000-04-12,0.6289
2000-04-13,0.4167
2000-04-14,-1.8672
2000-04-17,1.0571
2000-04-18,0.8368
2000-04-19,0.2075
2000-04-20,2.2774
2000-04-24,0.2024
2000-04-25,1.2121
2000-04-26,-6.3872
2000-04-27,1.0661
2000-04-28,2.9536
2000-05-01,-0.6148
2000-05-02,-1.0309
2000-05-03,0.8333
2000-05-04,-0.4132
2000-05-05,2.9046
2000-05-08,-1.8145
2000-05-09,-1.191
2000-05-10,-1.875
2000-05-11,0.4246
2000-05-12,0.2114
2000-05-15,0.211
2000-05-16,2.1053
2000-05-17,-0.8247
2000-05-18,-0.6237
2000-05-19,-1.046
2000-05-22,-0.8457
