ticker,ANLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,1.1236
2000-01-06,1.1111
2000-01-07,0.0
2000-01-10,2.1978
2000-01-11,1.0753
2000-01-12,-1.0638
2000-01-13,1.0753
2000-01-14,1.0638
2000-01-18,-1.0526
2000-01-19,1.0638
2000-01-20,1.0526
2000-01-21,0.0
2000-01-24,0.5208
2000-01-25,-1.0363
2000-01-26,-1.0471
2000-01-27,1.0582
2000-01-28,0.0
2000-01-31,0.5236
2000-02-01,2.0833
2000-02-02,-1.0417
2000-02-03,0.5263
2000-02-04,-0.5236
2000-02-07,1.0526
2000-02-08,0.5208
2000-02-09,-0.5181
2000-02-10,-0.5208
2000-02-11,-0.5236
2000-02-14,-0.5263
2000-02-15,0.0
2000-02-16,1.5873
2000-02-17,0.0
2000-02-18,-0.5208
2000-02-22,-0.5236
2000-02-23,-0.5263
2000-02-24,-0.5291
2000-02-25,1.0638
2000-02-28,0.5263
2000-02-29,-0.5236
2000-03-01,1.0526
2000-03-02,-1.0417
2000-03-03,1.0526
2000-03-06,0.5208
2000-03-07,0.0
2000-03-08,-0.5181
2000-03-09,0.5208
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,-0.5181
2000-03-15,0.5208
2000-03-16,-1.5544
2000-03-17,-0.5263
2000-03-20,-0.5291
2000-03-21,0.0
2000-03-22,-2.1277
2000-03-23,-0.5435
2000-03-24,-0.5464
2000-03-27,0.5495
2000-03-28,-0.5464
2000-03-29,0.0
2000-03-30,-3.2967
2000-03-31,-2.2727
2000-04-03,2.3256
2000-04-04,-0.5682
2000-04-05,-0.5714
2000-04-06,0.5747
2000-04-07,1.1429
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,1.1299
2000-04-13,0.0
2000-04-14,-1.1173
2000-04-17,-1.1299
2000-04-18,0.5714
2000-04-19,1.1364
2000-04-20,0.5618
2000-04-24,3.9106
2000-04-25,1.0753
2000-04-26,-1.5957
2000-04-27,2.1622
2000-04-28,-0.5291
2000-05-01,1.0638
2000-05-02,0.0
2000-05-03,0.5376
2000-05-04,-0.5348
2000-05-05,0.0
2000-05-08,1.0753
2000-05-09,1.5957
2000-05-10,-0.5236
2000-05-11,0.0
2000-05-12,-1.0526
2000-05-15,1.5957
2000-05-16,-1.0471
2000-05-17,-0.5291
2000-05-18,-1.5957
2000-05-19,3.2432
2000-05-23,-1.0471
2000-05-24,1.0582
2000-05-25,-1.0471
2000-05-26,0.5291
