ticker,HDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.8627
2000-01-04,-3.0263
2000-01-05,-2.578
2000-01-06,-1.9499
2000-01-07,-5.1136
2000-01-10,-4.3413
2000-01-11,-0.313
2000-01-12,-2.3548
2000-01-13,-5.627
2000-01-14,11.414
2000-01-18,3.6696999999999997
2000-01-19,0.4425
2000-01-20,1.0279
2000-01-21,4.6512
2000-01-24,-4.8611
2000-01-25,-2.9196999999999997
2000-01-26,-1.0526
2000-01-27,-1.3678
2000-01-28,-0.1541
2000-01-31,-1.8519
2000-02-01,-0.6289
2000-02-02,3.6391999999999998
2000-02-03,0.0
2000-02-04,-0.7634
2000-02-07,3.3846
2000-02-08,9.2262
2000-02-09,-1.9074
2000-02-10,0.1389
2000-02-11,-0.4161
2000-02-14,-2.0891
2000-02-15,-2.9872
2000-02-16,19.6481
2000-02-17,-2.0833
2000-02-18,-1.3767
2000-02-22,3.1726
2000-02-23,4.551
2000-02-24,9.1765
2000-02-25,-2.8017
2000-02-28,-4.4346
2000-02-29,2.7842000000000002
2000-03-01,1.4673
2000-03-02,1.3348
2000-03-03,0.4391
2000-03-06,3.2787
2000-03-07,-1.6931
2000-03-08,-6.3509
2000-03-09,2.9885
2000-03-10,-3.4598
2000-03-13,-0.8092
2000-03-14,0.1166
2000-03-15,3.1432
2000-03-16,1.2415
2000-03-17,3.6789
2000-03-20,-1.9355
2000-03-21,0.2193
2000-03-22,0.4376
2000-03-23,1.634
2000-03-24,-0.5359
2000-03-27,0.6466
2000-03-28,17.5589
2000-03-29,-4.0984
2000-03-30,-5.0332
2000-03-31,3.8
2000-04-03,-0.6744
2000-04-04,-2.4248
2000-04-05,0.6958
2000-04-06,-0.4936
2000-04-07,4.4643
2000-04-10,-1.0446
2000-04-11,-4.6065000000000005
2000-04-12,0.8048
2000-04-13,3.8922
2000-04-14,-8.3573
2000-04-17,1.4675
2000-04-18,11.0537
2000-04-19,14.0465
2000-04-20,0.2447
2000-04-24,-3.2547
2000-04-25,8.3263
2000-04-26,-0.1553
2000-04-27,1.3997
2000-04-28,0.8436
2000-05-01,-4.1825
2000-05-02,-8.5714
2000-05-03,2.5174
2000-05-04,0.5927
2000-05-05,1.431
2000-05-08,-1.3277999999999999
2000-05-09,-1.2616
2000-05-10,-5.2811
2000-05-11,5.3957
2000-05-12,4.6075
2000-05-15,5.1387
2000-05-16,1.474
2000-05-17,-1.3761
2000-05-18,0.9302
2000-05-19,-6.4516
2000-05-22,4.9261
2000-05-23,-4.0689
2000-05-24,2.7427
2000-05-25,-0.9229
2000-05-26,3.1751
2000-05-30,3.058
2000-05-31,6.4054
2000-06-01,8.2153
2000-06-02,4.5157
2000-06-05,4.1954
2000-06-06,0.1803
2000-06-07,-0.6599
2000-06-08,-3.6231999999999998
2000-06-09,7.0802
2000-06-12,-2.9257
2000-06-13,1.0247
2000-06-14,-0.2983
2000-06-15,0.778
2000-06-16,3.2067
2000-06-19,1.611
2000-06-20,6.1155
2000-06-21,-3.0416
2000-06-22,1.8162
2000-06-23,-2.9189
