ticker,OAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9524
2000-01-04,-2.6497
2000-01-05,3.3266
2000-01-06,1.9512
2000-01-07,1.6268
2000-01-10,-0.6591
2000-01-11,2.654
2000-01-12,-1.2927
2000-01-13,-0.6548
2000-01-14,-2.8249
2000-01-18,-2.3256
2000-01-19,-2.0833
2000-01-20,-0.304
2000-01-21,-1.626
2000-01-24,-0.9298
2000-01-25,-2.8154
2000-01-26,1.1803
2000-01-27,-1.2725
2000-01-28,-2.7927
2000-01-31,4.9724
2000-02-01,-5.5789
2000-02-02,0.7804
2000-02-03,2.5442
2000-02-04,-0.9709
2000-02-07,-1.634
2000-02-08,1.1074
2000-02-09,-0.6572
2000-02-10,-1.9846
2000-02-11,0.3375
2000-02-14,1.5695000000000001
2000-02-15,2.8698
2000-02-16,-1.5021
2000-02-17,0.2179
2000-02-18,-2.7174
2000-02-22,0.0
2000-02-23,-1.4525000000000001
2000-02-24,-6.0091
2000-02-25,-0.6031
2000-02-28,3.1553
2000-02-29,1.5293999999999999
2000-03-01,-0.4635
2000-03-02,-3.8417
2000-03-03,0.0
2000-03-06,-4.1162
2000-03-07,-4.1667
2000-03-08,4.3478
2000-03-09,-5.0505
2000-03-10,-0.6649
2000-03-13,-0.996
2000-03-14,0.1361
2000-03-15,12.0924
2000-03-16,7.1515
2000-03-17,-3.5068
2000-03-20,-1.7585
2000-03-21,3.1026
2000-03-22,-3.2407
2000-03-23,-0.7177
2000-03-24,0.4819
2000-03-27,-1.9184999999999999
2000-03-28,6.2347
2000-03-29,5.8688
2000-03-30,5.8696
2000-03-31,-0.4107
2000-04-03,0.8247
2000-04-04,1.1247
2000-04-05,-0.1011
2000-04-06,-1.7206000000000001
2000-04-07,0.206
2000-04-10,0.3083
2000-04-11,2.3566
2000-04-12,2.5025
2000-04-13,0.9766
2000-04-14,-4.6422
2000-04-17,0.9128
2000-04-18,1.9095
2000-04-19,-0.4931
2000-04-20,6.7393
2000-04-24,-1.1142
2000-04-25,0.6573
2000-04-26,0.3731
2000-04-27,-1.1152
2000-04-28,-1.9737
2000-05-01,4.0268
2000-05-02,-2.3041
2000-05-03,5.0
2000-05-04,-0.7188
2000-05-05,-0.181
2000-05-08,0.816
2000-05-09,3.3273
2000-05-10,-2.785
2000-05-11,3.2229
2000-05-12,-2.0815
2000-05-15,-0.1771
2000-05-16,1.331
2000-05-17,-0.4378
2000-05-18,0.4398
2000-05-19,-1.4011
2000-05-22,-0.0888
