ticker,MDU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.25
2000-01-04,6.0127
2000-01-05,-0.8955
2000-01-06,-1.506
2000-01-07,-1.2232
2000-01-10,0.6192
2000-01-11,-1.5385
2000-01-12,-0.9375
2000-01-13,1.5773000000000001
2000-01-14,-2.1739
2000-01-18,1.2698
2000-01-19,1.8809
2000-01-20,-1.2308
2000-01-21,1.8692
2000-01-24,0.0
2000-01-25,-1.8349
2000-01-26,0.0
2000-01-27,-0.9346
2000-01-28,1.5723
2000-01-31,-1.8576000000000001
2000-02-01,0.3155
2000-02-02,0.0
2000-02-03,1.5723
2000-02-04,0.0
2000-02-07,-1.2384
2000-02-08,-0.627
2000-02-09,0.6309
2000-02-10,-1.2539
2000-02-11,1.5873
2000-02-14,-0.625
2000-02-15,0.0
2000-02-16,0.3145
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-1.2539
2000-02-23,-2.5397
2000-02-24,-2.6059
2000-02-25,-2.3411
2000-02-28,3.7671
2000-02-29,0.6601
2000-03-01,-0.6557
2000-03-02,-1.3201
2000-03-03,-0.3344
2000-03-06,-2.0134
2000-03-07,1.8356
2000-03-08,-1.3605
2000-03-09,1.0345
2000-03-10,-0.3413
2000-03-13,-1.3699
2000-03-14,1.3889
2000-03-15,0.6849
2000-03-16,3.4013999999999998
2000-03-17,-0.3289
2000-03-20,-0.6601
2000-03-21,-0.3322
2000-03-22,-1.3333
2000-03-23,0.6757
2000-03-24,0.6711
2000-03-27,-0.6667
2000-03-28,1.0067
2000-03-29,3.9867
2000-03-30,2.2364
2000-03-31,3.75
2000-04-03,0.9036
2000-04-04,1.791
2000-04-05,-1.7595
2000-04-06,-0.2985
2000-04-07,-0.5988
2000-04-10,0.9036
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,3.2836
2000-04-14,1.7341
2000-04-17,-0.8523
2000-04-18,0.2865
2000-04-19,-1.1429
2000-04-20,-1.1561
2000-04-24,1.7544
2000-04-25,1.7241
2000-04-26,-0.565
2000-04-27,2.5568
2000-04-28,-3.3241
2000-05-01,2.0057
2000-05-02,-2.809
2000-05-03,-1.7341
2000-05-04,2.3529
2000-05-05,0.8621
2000-05-08,-2.849
2000-05-09,1.4663
2000-05-10,0.8671
2000-05-11,-0.2865
2000-05-12,1.4368
2000-05-15,1.4163999999999999
2000-05-16,-0.838
2000-05-17,-3.0986
2000-05-18,0.8721
2000-05-19,-0.2882
2000-05-22,1.1561
2000-05-23,-2.8571
