ticker,CNW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.7899
2000-01-04,-5.8939
2000-01-05,2.0877
2000-01-06,5.9305
2000-01-07,3.8609999999999998
2000-01-10,-4.8327
2000-01-11,-0.3906
2000-01-12,0.3922
2000-01-13,-1.9531
2000-01-14,1.5936
2000-01-18,5.6863
2000-01-19,1.6698
2000-01-20,-1.6423
2000-01-21,-0.3711
2000-01-24,-6.8901
2000-01-25,-0.2
2000-01-26,2.004
2000-01-27,-3.9293
2000-01-28,-2.454
2000-01-31,0.4193
2000-02-01,1.4614
2000-02-02,5.7613
2000-02-03,-0.7782
2000-02-04,-0.9804
2000-02-07,-1.7822
2000-02-08,0.2016
2000-02-09,-2.8169
2000-02-10,-0.4141
2000-02-11,4.0748
2000-02-14,11.4228
2000-02-15,-3.4173
2000-02-16,-2.0484
2000-02-17,2.4715
2000-02-18,-4.2672
2000-02-22,0.969
2000-02-23,-0.5758
2000-02-24,-4.8263
2000-02-25,0.2028
2000-02-28,-0.6073
2000-02-29,4.4807
2000-03-01,0.3899
2000-03-02,-1.3592
2000-03-03,0.5906
2000-03-06,-4.8924
2000-03-07,-0.6173
2000-03-08,4.1408
2000-03-09,-0.994
2000-03-10,-1.2048
2000-03-13,-3.6585
2000-03-14,-1.0549
2000-03-15,1.2793
2000-03-16,10.1053
2000-03-17,-2.8681
2000-03-20,-3.3465
2000-03-21,-0.611
2000-03-22,-1.6393
2000-03-23,-2.5
2000-03-24,-9.4017
2000-03-27,0.9434
2000-03-28,0.0
2000-03-29,-2.1028000000000002
2000-03-30,2.3866
2000-03-31,3.4965
2000-04-03,3.1532
2000-04-04,-2.1834
2000-04-05,3.5714
2000-04-06,2.8017
2000-04-07,1.6771
2000-04-10,-2.0619
2000-04-11,8.2105
2000-04-12,7.0039
2000-04-13,-0.1818
2000-04-14,-10.7468
2000-04-17,0.8163
2000-04-18,5.668
2000-04-19,-6.705
2000-04-20,-0.4107
2000-04-24,-1.6495
2000-04-25,-2.5157
2000-04-26,-1.9355
2000-04-27,-1.5351
2000-04-28,-0.4454
2000-05-01,2.0134
2000-05-02,-0.2193
2000-05-03,-4.8352
2000-05-04,-1.3857
2000-05-05,4.2155
2000-05-08,2.6966
2000-05-09,-1.5316999999999998
2000-05-10,-2.8889
2000-05-11,2.1968
2000-05-12,-1.3483
2000-05-15,-0.9112
2000-05-16,-0.6897
2000-05-17,0.0
2000-05-18,-0.463
2000-05-19,-3.0233
2000-05-22,-0.4796
