ticker,EIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,2.4457
2000-01-05,-1.061
2000-01-06,3.2172
2000-01-07,1.8182
2000-01-10,-0.5102
2000-01-11,-3.5897
2000-01-12,1.8617
2000-01-13,0.2611
2000-01-14,0.0
2000-01-18,-0.2604
2000-01-19,0.2611
2000-01-20,-0.2604
2000-01-21,14.8825
2000-01-24,20.2273
2000-01-25,0.0
2000-01-26,-0.9452
2000-01-27,-0.5725
2000-01-28,-0.1919
2000-01-31,0.1923
2000-02-01,0.9597
2000-02-02,-0.1901
2000-02-03,0.1905
2000-02-04,-0.3802
2000-02-07,0.1908
2000-02-08,0.5714
2000-02-09,0.0
2000-02-10,0.5682
2000-02-11,0.1883
2000-02-14,-0.188
2000-02-15,0.1883
2000-02-16,0.0
2000-02-17,-0.3759
2000-02-18,0.1887
2000-02-22,-0.1883
2000-02-23,0.566
2000-02-24,0.0
2000-02-25,1.1257
2000-02-28,-0.7421
2000-02-29,0.3738
2000-03-01,0.3724
2000-03-02,0.1855
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,0.0
