ticker,EBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.4194
2000-01-04,-2.3622
2000-01-05,1.6129
2000-01-06,-1.5873
2000-01-07,1.6129
2000-01-10,4.7619
2000-01-11,-3.7879
2000-01-12,0.0
2000-01-13,0.378
2000-01-14,1.6
2000-01-18,0.7874
2000-01-19,1.5625
2000-01-20,-0.7692
2000-01-21,0.7752
2000-01-24,-1.5385
2000-01-25,0.0
2000-01-26,-0.7812
2000-01-27,-0.7874
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,1.5873
2000-02-02,-0.7812
2000-02-03,0.7874
2000-02-04,-0.7812
2000-02-07,-0.7874
2000-02-08,0.0
2000-02-09,-2.3810000000000002
2000-02-10,-0.813
2000-02-11,-2.459
2000-02-14,3.3613
2000-02-15,3.252
2000-02-16,-0.7874
2000-02-17,-0.7937
2000-02-18,-2.4
2000-02-22,2.459
2000-02-23,-4.0
2000-02-24,-3.3333
2000-02-25,1.7241
2000-02-28,-0.8475
2000-02-29,0.0
2000-03-01,0.8547
2000-03-02,-2.5423999999999998
2000-03-03,0.8696
2000-03-06,-0.8621
2000-03-07,0.8696
2000-03-08,-0.8621
2000-03-09,0.8696
2000-03-10,-1.7241
2000-03-13,0.0
2000-03-14,0.8772
2000-03-15,-0.8696
2000-03-16,0.0
2000-03-17,0.8772
2000-03-20,0.8696
2000-03-21,-0.8621
2000-03-22,2.6087
2000-03-23,-1.6949
2000-03-24,-1.7241
2000-03-27,-2.6316
2000-03-28,-0.9009
2000-03-29,0.9091
2000-03-30,3.6036
2000-03-31,0.8696
2000-04-03,-3.4483
2000-04-04,1.7856999999999998
2000-04-05,4.386
2000-04-06,-0.8403
2000-04-07,-0.8475
2000-04-10,0.0
2000-04-11,0.8547
2000-04-12,-1.6949
2000-04-13,0.4138
2000-04-14,1.7544
2000-04-17,0.0
2000-04-18,-2.5862
2000-04-19,0.885
2000-04-20,0.0
2000-04-24,-0.8772
2000-04-25,0.885
2000-04-26,-1.7544
2000-04-27,-3.5714
2000-04-28,0.0
2000-05-01,14.8148
2000-05-02,-0.8065
2000-05-03,4.065
2000-05-04,0.0
2000-05-05,1.5625
2000-05-08,-2.3077
2000-05-09,0.7874
2000-05-10,-2.3438
2000-05-11,0.0
2000-05-12,-3.2
2000-05-15,0.0
2000-05-16,2.4793
2000-05-17,-2.4194
2000-05-18,0.8264
2000-05-19,-1.6393
2000-05-22,0.8333
2000-05-23,0.0
2000-05-24,-0.8264
2000-05-25,0.0
