ticker,RHB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8824
2000-01-04,-0.2967
2000-01-05,6.5476
2000-01-06,0.838
2000-01-07,10.8033
2000-01-10,11.5
2000-01-11,-3.1390000000000002
2000-01-12,-3.0093
2000-01-13,-3.3413
2000-01-14,0.2469
2000-01-18,-1.4778
2000-01-19,1.0
2000-01-20,-1.9802
2000-01-21,3.0303
2000-01-24,0.7353
2000-01-25,-0.7299
2000-01-26,-0.4902
2000-01-27,-2.7094
2000-01-28,-4.0506
2000-01-31,-0.5277
2000-02-01,7.9576
2000-02-02,-1.9656
2000-02-03,-0.7519
2000-02-04,0.2525
2000-02-07,1.2594
2000-02-08,-0.4975
2000-02-09,-2.0
2000-02-10,-11.2245
2000-02-11,-2.5862
2000-02-14,-0.59
2000-02-15,2.3739
2000-02-16,9.5652
2000-02-17,5.0265
2000-02-18,0.7557
2000-02-22,3.5
2000-02-23,-0.4831
2000-02-24,4.3689
2000-02-25,3.9535
2000-02-28,-2.6846
2000-02-29,-1.1494
2000-03-01,-5.1163
2000-03-02,-2.9412000000000003
2000-03-03,1.2626
2000-03-06,-0.2494
2000-03-07,0.25
2000-03-08,-0.4988
2000-03-09,-2.7569
2000-03-10,1.0309
2000-03-13,2.0408
2000-03-14,0.25
2000-03-15,0.2494
2000-03-16,-3.9801
2000-03-17,0.5181
2000-03-20,-0.5155
2000-03-21,0.5181
2000-03-22,0.0
2000-03-23,2.0619
2000-03-24,1.5152
2000-03-27,-0.2488
2000-03-28,-0.2494
2000-03-29,2.5
2000-03-30,-0.9756
2000-03-31,-2.7094
2000-04-03,-3.2911
2000-04-04,-4.712
2000-04-05,0.8242
2000-04-06,5.7221
2000-04-07,8.7629
2000-04-10,-1.4218
2000-04-11,0.7212
2000-04-12,4.5346
2000-04-13,-0.2283
2000-04-14,-3.2037
2000-04-17,9.6927
2000-04-18,3.2328
2000-04-19,-6.4718
2000-04-20,-2.2321
2000-04-24,1.3699
2000-04-25,2.7027
2000-04-26,1.5351
2000-04-27,0.8639
2000-04-28,2.1413
2000-05-01,1.8868
2000-05-02,14.4033
2000-05-03,0.0
2000-05-04,2.518
2000-05-05,3.3333
2000-05-08,4.0747
2000-05-09,3.0995
2000-05-10,2.057
2000-05-11,-1.8605
2000-05-12,2.3697
2000-05-15,1.2346
2000-05-16,3.3537
2000-05-17,-1.1799
2000-05-18,-1.194
2000-05-19,-9.0634
2000-05-22,-0.3322
2000-05-23,10.5
