ticker,CJHBQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.1471
2000-01-04,-0.7752
2000-01-05,1.5625
2000-01-06,-1.5385
2000-01-07,2.3438
2000-01-10,0.0
2000-01-11,0.7634
2000-01-12,-1.5152
2000-01-13,0.7692
2000-01-14,0.0
2000-01-18,-0.7634
2000-01-19,0.7692
2000-01-20,-0.7634
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,1.5385
2000-01-27,-1.5152
2000-01-28,-3.0769
2000-01-31,-2.3810000000000002
2000-02-01,1.626
2000-02-02,0.8
2000-02-03,1.5873
2000-02-04,-0.7813
2000-02-07,0.0
2000-02-08,-0.7874
2000-02-09,0.0
2000-02-10,-0.7937
2000-02-11,0.0
2000-02-14,-6.4
2000-02-15,0.0
2000-02-16,-5.9829
2000-02-17,3.6364
2000-02-18,3.5088
2000-02-22,-0.8475
2000-02-23,-3.4188
2000-02-24,1.7699
2000-02-25,-3.4783
2000-02-28,-0.9009
2000-02-29,-8.1818
2000-03-01,-0.9901
2000-03-02,1.0
2000-03-03,-1.9802
2000-03-06,-1.0101
2000-03-07,-6.1224
2000-03-08,0.0
2000-03-09,-2.1739
2000-03-10,-2.2222
2000-03-13,4.5455
2000-03-14,2.1739
2000-03-15,0.0
2000-03-16,8.5106
2000-03-17,-0.9804
2000-03-20,3.9604
2000-03-21,1.9048
2000-03-22,-0.9346
2000-03-23,-1.8868
2000-03-24,0.0
2000-03-27,-0.9615
2000-03-28,-0.9709
2000-03-29,-3.9215999999999998
2000-03-30,1.0204
2000-03-31,-7.0707
2000-04-03,7.6087
2000-04-04,-3.0303
2000-04-05,4.1667
2000-04-06,3.0
2000-04-07,-1.9417
2000-04-10,0.9901
2000-04-11,-1.9607999999999999
2000-04-12,1.0
2000-04-13,1.9802
2000-04-14,-4.8544
2000-04-17,-1.0204
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,-3.0928
2000-04-24,10.6383
2000-04-25,6.7308
2000-04-26,4.5045
2000-04-27,-3.4483
2000-04-28,0.8929
2000-05-01,-10.6195
2000-05-02,-2.9703
2000-05-03,-1.0204
2000-05-04,4.1237
2000-05-05,1.9802
2000-05-08,-3.8834999999999997
2000-05-09,5.0505
2000-05-10,-3.8462
2000-05-11,4.0
2000-05-12,-1.9231
2000-05-15,1.9607999999999999
2000-05-16,1.9231
2000-05-17,-2.8302
2000-05-18,-1.9417
2000-05-19,-1.9802
2000-05-22,-3.0303
2000-05-23,-1.0417
