ticker,WBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3504
2000-01-04,-3.7199
2000-01-05,1.1364
2000-01-06,-2.9213
2000-01-07,2.5463
2000-01-10,2.9345
2000-01-11,3.9474
2000-01-12,2.1097
2000-01-13,-0.2066
2000-01-14,-2.4845
2000-01-18,-0.6369
2000-01-19,3.2051
2000-01-20,0.0
2000-01-21,-0.8282
2000-01-24,-3.1315
2000-01-25,-1.9397
2000-01-26,2.8571
2000-01-27,-0.4274
2000-01-28,-1.073
2000-01-31,-3.0369
2000-02-01,3.132
2000-02-02,0.4338
2000-02-03,-0.216
2000-02-04,1.0823
2000-02-07,-0.8565
2000-02-08,4.1037
2000-02-09,-0.6224
2000-02-10,2.2965
2000-02-11,-3.2653
2000-02-14,0.6329
2000-02-15,-4.4025
2000-02-16,-3.3904
2000-02-17,-0.4545
2000-02-18,-4.3379
2000-02-22,0.2387
2000-02-23,1.9048
2000-02-24,-2.5701
2000-02-25,0.2398
2000-02-28,1.1962
2000-02-29,-2.3641
2000-03-01,-0.7264
2000-03-02,-3.6585
2000-03-03,-0.6803
2000-03-06,-1.0994
2000-03-07,-6.1856
2000-03-08,9.3407
2000-03-09,3.0151
2000-03-10,-4.3902
2000-03-13,2.2959
2000-03-14,-0.2494
2000-03-15,4.0
2000-03-16,5.7692
2000-03-17,1.5909
2000-03-20,0.2237
2000-03-21,0.0
2000-03-22,-0.2232
2000-03-23,-2.6846
2000-03-24,2.9885
2000-03-27,-5.5804
2000-03-28,0.7092
2000-03-29,-2.3474
2000-03-30,-3.3654
2000-03-31,2.4876
2000-04-03,-1.2136
2000-04-04,5.1597
2000-04-05,0.7009
2000-04-06,-1.3921000000000001
2000-04-07,-0.0588
2000-04-10,2.6486
2000-04-11,0.4587
2000-04-12,3.1963
2000-04-13,-1.3274
2000-04-14,-5.6054
2000-04-17,5.4632
2000-04-18,-0.9009
2000-04-19,0.0
2000-04-20,2.0455
2000-04-24,2.4499
2000-04-25,1.5217
2000-04-26,-0.4283
2000-04-27,-1.0753
2000-04-28,-2.1739
2000-05-01,-0.2222
2000-05-02,2.8952999999999998
2000-05-03,-8.2251
2000-05-04,-1.1792
2000-05-05,1.6705999999999999
2000-05-08,5.6338
2000-05-09,-0.8889
2000-05-10,2.2422
2000-05-11,2.193
2000-05-12,-3.3529999999999998
2000-05-15,0.5828
2000-05-16,0.4415
2000-05-17,-0.5407
2000-05-18,-0.4425
2000-05-19,-1.1111
2000-05-22,-1.1236
