ticker,SR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1561
2000-01-04,1.1696
2000-01-05,0.578
2000-01-06,-0.2874
2000-01-07,-0.8646
2000-01-10,-2.3256
2000-01-11,-1.7856999999999998
2000-01-12,-2.7273
2000-01-13,2.8037
2000-01-14,-1.8182
2000-01-18,0.3086
2000-01-19,-0.6154
2000-01-20,0.0
2000-01-21,0.3096
2000-01-24,-0.9259
2000-01-25,-4.0498
2000-01-26,1.2987
2000-01-27,1.2821
2000-01-28,-2.5316
2000-01-31,-1.9481000000000002
2000-02-01,3.9735
2000-02-02,-1.5924
2000-02-03,0.3236
2000-02-04,0.6452
2000-02-07,-2.5641
2000-02-08,-1.3158
2000-02-09,1.3333
2000-02-10,-1.9737
2000-02-11,-4.3624
2000-02-14,3.5088
2000-02-15,1.6949
2000-02-16,2.0
2000-02-17,-0.3268
2000-02-18,-2.9508
2000-02-22,-2.7027
2000-02-23,0.3472
2000-02-24,-1.3841
2000-02-25,1.0526
2000-02-28,3.125
2000-02-29,7.7440999999999995
2000-03-01,-2.1875
2000-03-02,-2.2364
2000-03-03,-0.6536
2000-03-06,-0.6579
2000-03-07,13.245
2000-03-08,-6.1813
2000-03-09,1.1094
2000-03-10,-2.1944
2000-03-13,-2.5641
2000-03-14,2.6316
2000-03-15,-2.5641
2000-03-16,5.2632
2000-03-17,0.0
2000-03-20,-2.5
2000-03-21,2.2436
2000-03-22,0.9404
2000-03-23,-0.3106
2000-03-24,-2.1807
2000-03-27,-0.6369
2000-03-28,0.3205
2000-03-29,0.9585
2000-03-30,-1.2658
2000-03-31,2.5641
2000-04-03,0.9375
2000-04-04,1.548
2000-04-05,-3.0488
2000-04-06,-0.6289
2000-04-07,-0.6329
2000-04-10,-1.2739
2000-04-11,3.2258
2000-04-12,-2.5
2000-04-13,0.641
2000-04-14,0.6369
2000-04-17,-0.3165
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,-0.9524
2000-04-24,0.641
2000-04-25,2.5478
2000-04-26,-1.2422
2000-04-27,-0.6289
2000-04-28,-0.6329
2000-05-01,0.9554
2000-05-02,-1.2618
2000-05-03,-0.3195
2000-05-04,0.9615
2000-05-05,1.2698
2000-05-08,-0.3135
2000-05-09,-1.8868
2000-05-10,-0.3205
2000-05-11,2.2508
2000-05-12,2.5157
2000-05-15,-2.454
2000-05-16,-2.5157
2000-05-17,2.5806
2000-05-18,-0.6289
2000-05-19,-1.2658
2000-05-22,-0.641
2000-05-23,0.9677
