ticker,DQE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8881
2000-01-04,1.3011
2000-01-05,5.6881
2000-01-06,-1.0417
2000-01-07,1.7544
2000-01-10,0.5172
2000-01-11,0.0
2000-01-12,0.5146
2000-01-13,-0.1706
2000-01-14,-0.5128
2000-01-18,-0.3436
2000-01-19,2.069
2000-01-20,1.3514
2000-01-21,3.3333
2000-01-24,16.2903
2000-01-25,-0.1387
2000-01-26,3.0556
2000-01-27,-0.9434
2000-01-28,-1.0884
2000-01-31,2.6135
2000-02-01,0.2681
2000-02-02,0.9358
2000-02-03,0.3974
2000-02-04,-1.0554
2000-02-07,-0.4
2000-02-08,0.0
2000-02-09,1.071
2000-02-10,-1.5894
2000-02-11,-2.4226
2000-02-14,0.1379
2000-02-15,1.6529
2000-02-16,1.084
2000-02-17,0.5362
2000-02-18,2.4
2000-02-22,-0.9115
2000-02-23,-0.5256
2000-02-24,-2.642
2000-02-25,-2.171
2000-02-28,1.2483
2000-02-29,1.9178
2000-03-01,0.5376
2000-03-02,0.5348
2000-03-03,0.9309
2000-03-06,-0.3953
2000-03-07,1.1905000000000001
2000-03-08,-0.6013
2000-03-09,0.5305
2000-03-10,-0.3958
2000-03-13,-1.1921
2000-03-14,-1.0724
2000-03-15,2.168
2000-03-16,2.9177999999999997
2000-03-17,-2.0619
2000-03-20,0.7895
2000-03-21,-1.3054999999999999
2000-03-22,-2.1164
2000-03-23,1.4865
2000-03-24,0.9321
2000-03-27,-1.4512
2000-03-28,-3.3467000000000002
2000-03-29,2.2161
2000-03-30,0.542
2000-03-31,-1.8868
2000-04-03,-1.0989
2000-04-04,-3.1944
2000-04-05,0.7174
2000-04-06,-1.8519
2000-04-07,-1.8868
2000-04-10,-1.9231
2000-04-11,-1.0558
2000-04-12,-0.3049
2000-04-13,1.5291000000000001
2000-04-14,-3.6145
2000-04-17,-0.625
2000-04-18,-1.8868
2000-04-19,-2.4038
2000-04-20,1.9704000000000002
2000-04-24,-2.0934
2000-04-25,0.0
2000-04-26,1.4803
2000-04-27,-0.3241
2000-04-28,-0.4878
2000-05-01,0.3268
2000-05-02,1.9544000000000001
2000-05-03,0.1597
2000-05-04,3.3493
2000-05-05,-3.2407
2000-05-08,2.5518
2000-05-09,-0.4666
2000-05-10,-0.1563
2000-05-11,2.6604
2000-05-12,-0.4573
2000-05-15,1.3783
2000-05-16,-0.9063
2000-05-17,-1.6768
2000-05-18,0.7752
2000-05-19,-0.4615
2000-05-22,0.9274
