ticker,HYI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-28,0.0
2010-10-29,0.0
2010-11-01,0.05
2010-11-02,-0.05
2010-11-03,0.05
2010-11-04,-0.05
2010-11-05,-0.05
2010-11-08,0.0
2010-11-09,0.0
2010-11-10,0.05
2010-11-11,-0.05
2010-11-12,0.05
2010-11-15,-0.05
2010-11-16,0.0
2010-11-17,0.0
2010-11-18,0.0
2010-11-19,0.0
2010-11-22,0.0025
2010-11-23,-0.0025
2010-11-24,0.0
2010-11-29,0.0
2010-11-30,0.0
2010-12-01,0.0
2010-12-02,0.0
2010-12-03,0.0
2010-12-06,0.0
2010-12-07,0.0
2010-12-08,0.0
2010-12-09,0.0
2010-12-10,-1.8
2010-12-13,-2.7495000000000003
2010-12-14,-1.2042
2010-12-15,-0.4928
2010-12-16,-1.2346
2010-12-17,3.2609
2010-12-20,-2.7368
2010-12-21,-2.0563
2010-12-22,0.442
2010-12-23,0.385
2010-12-27,0.1644
2010-12-28,-0.93
2010-12-29,0.3313
2010-12-30,-0.1101
2010-12-31,0.6612
2011-01-03,0.0
2011-01-04,1.2042
2011-01-05,0.0541
2011-01-06,0.3243
2011-01-07,1.0776
2011-01-10,-0.2132
2011-01-11,-0.0541
2011-01-12,0.161
2011-01-13,1.0672
2011-01-14,1.2144
2011-01-18,-0.1043
2011-01-19,0.4021
2011-01-20,-0.4193
2011-01-21,0.5263
2011-01-24,-0.733
2011-01-25,0.211
2011-01-26,-0.5263
2011-01-27,0.4762
2011-01-28,-1.2112
2011-01-31,1.0021
2011-02-01,0.2744
2011-02-02,0.6842
2011-02-03,0.1045
2011-02-04,0.0522
2011-02-07,-0.0522
2011-02-08,0.1567
2011-02-09,0.0
2011-02-10,0.3128
2011-02-11,-0.1559
2011-02-14,0.885
2011-02-15,-0.774
2011-02-16,-0.3796
2011-02-17,0.4734
2011-02-18,0.0524
2011-02-22,-0.9419
2011-02-23,0.1591
2011-02-24,-0.7397
2011-02-25,0.6914
2011-02-28,-0.437
2011-03-01,-0.2809
2011-03-02,-0.1286
2011-03-03,-0.2129
2011-03-04,-0.3733
2011-03-07,-0.4283
2011-03-08,1.0215
2011-03-09,-0.2129
2011-03-10,-0.6933
2011-03-11,0.6445
2011-03-14,0.0534
2011-03-15,-0.32
2011-03-16,-1.6747
2011-03-17,1.2068
2011-03-18,-0.7046
2011-03-21,1.31
2011-03-22,0.6466
2011-03-23,0.6424
2011-03-24,-0.1064
2011-03-25,-0.426
2011-03-28,0.3209
