ticker,HNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.6774
2000-01-04,0.0
2000-01-05,-7.1429
2000-01-06,19.2308
2000-01-07,3.2258
2000-01-10,-6.25
2000-01-11,-3.3333
2000-01-12,-3.4483
2000-01-13,-7.1429
2000-01-14,7.6923
2000-01-18,3.5714
2000-01-19,3.4483
2000-01-20,-3.3333
2000-01-21,10.3448
2000-01-24,-3.125
2000-01-25,-3.2258
2000-01-26,0.0
2000-01-27,-3.3333
2000-01-28,-3.4483
2000-01-31,0.0
2000-02-01,7.1429
2000-02-02,0.0
2000-02-03,-3.3333
2000-02-04,0.0
2000-02-07,-3.4483
2000-02-08,0.0
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,-3.5714
2000-02-14,3.7037
2000-02-15,7.1429
2000-02-16,10.0
2000-02-17,9.0909
2000-02-18,0.0
2000-02-22,-8.3333
2000-02-23,-6.0606
2000-02-24,-3.2258
2000-02-25,6.6667
2000-02-28,15.625
2000-02-29,-13.5135
2000-03-01,3.125
2000-03-02,6.0606
2000-03-03,-5.7143
2000-03-06,0.0
2000-03-07,9.0909
2000-03-08,5.5556
2000-03-09,13.1579
2000-03-10,2.3256
2000-03-13,0.0
2000-03-14,-4.5455
2000-03-15,23.8095
2000-03-16,3.8462
2000-03-17,0.0
2000-03-20,16.6667
2000-03-21,3.1746
2000-03-22,-3.0769
2000-03-23,-11.1111
2000-03-24,-14.2857
2000-03-27,0.0
2000-03-28,4.1667
2000-03-29,10.0
2000-03-30,-5.4545
2000-03-31,-11.538499999999999
2000-04-03,19.5652
2000-04-04,-12.7273
2000-04-05,-2.0833
2000-04-06,-2.1277
2000-04-07,-2.1739
2000-04-10,0.0
2000-04-11,-4.4444
2000-04-12,-11.6279
2000-04-13,5.2632
2000-04-14,-5.0
2000-04-17,-15.7895
2000-04-18,3.125
2000-04-19,6.0606
2000-04-20,8.5714
2000-04-24,-2.6316
2000-04-25,2.7027
2000-04-26,5.2632
2000-04-27,5.0
2000-04-28,2.3810000000000002
2000-05-01,-4.6512
2000-05-02,0.0
2000-05-03,2.439
2000-05-04,16.6667
2000-05-05,-2.0408
2000-05-08,6.25
2000-05-09,-5.8824
2000-05-10,-2.0833
2000-05-11,2.1277
2000-05-12,6.25
2000-05-15,-3.9215999999999998
2000-05-16,-6.1224
2000-05-17,-4.3478
2000-05-18,6.8182
2000-05-19,-4.2553
2000-05-22,-8.8889
2000-05-23,4.878
2000-05-24,-9.3023
2000-05-25,5.1282
