ticker,EMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.6212
2000-01-04,-2.4226
2000-01-05,4.9655000000000005
2000-01-06,6.3075
2000-01-07,-0.2472
2000-01-10,-3.0979
2000-01-11,-1.1509
2000-01-12,3.2342
2000-01-13,-1.1278
2000-01-14,-1.6477
2000-01-18,-2.4485
2000-01-19,-3.3025
2000-01-20,-1.9125999999999999
2000-01-21,-2.6462
2000-01-24,-0.1431
2000-01-25,-5.8739
2000-01-26,3.1963
2000-01-27,1.0324
2000-01-28,-6.7153
2000-01-31,-0.1565
2000-02-01,-0.4702
2000-02-02,0.1575
2000-02-03,0.9434
2000-02-04,-0.1558
2000-02-07,-0.468
2000-02-08,0.1567
2000-02-09,0.1565
2000-02-10,-2.6563
2000-02-11,-0.9631
2000-02-14,0.4862
2000-02-15,1.9355
2000-02-16,-0.9494
2000-02-17,-1.278
2000-02-18,-3.3981
2000-02-22,6.1977
2000-02-23,-3.1546
2000-02-24,-4.886
2000-02-25,-1.8836
2000-02-28,4.712
2000-02-29,-4.1667
2000-03-01,-3.4783
2000-03-02,-0.7207
2000-03-03,6.7151
2000-03-06,-2.0408
2000-03-07,-5.0347
2000-03-08,3.1079
2000-03-09,-1.7730000000000001
2000-03-10,4.3321
2000-03-13,1.737
2000-03-14,-2.5818
2000-03-15,11.8375
2000-03-16,5.0553
2000-03-17,-4.2105
2000-03-20,9.4192
2000-03-21,-0.7174
2000-03-22,-3.4682
2000-03-23,2.9939999999999998
2000-03-24,-0.2907
2000-03-27,2.1866
2000-03-28,0.428
2000-03-29,0.4261
2000-03-30,3.2532
2000-03-31,-0.274
2000-04-03,5.4945
2000-04-04,-2.2135
2000-04-05,-0.6658
2000-04-06,0.5362
2000-04-07,-1.7332999999999998
2000-04-10,2.578
2000-04-11,2.1164
2000-04-12,1.4249
2000-04-13,-1.2771
2000-04-14,-4.9159
2000-04-17,0.0
2000-04-18,-2.1769
2000-04-19,-1.8081
2000-04-20,5.2408
2000-04-24,1.0767
2000-04-25,2.3968
2000-04-26,-3.7711
2000-04-27,0.4054
2000-04-28,12.6514
2000-05-01,0.3584
2000-05-02,0.4762
2000-05-03,-1.7772999999999999
2000-05-04,0.7238
2000-05-05,0.0
2000-05-08,-1.4371
2000-05-09,0.3645
2000-05-10,-1.3317
2000-05-11,4.0491
2000-05-12,-1.533
2000-05-15,2.3952
2000-05-16,-1.0526
2000-05-17,-1.7730000000000001
2000-05-18,-0.722
2000-05-19,2.5455
