ticker,CNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4055
2000-01-04,0.0
2000-01-05,-0.3521
2000-01-06,0.7067
2000-01-07,1.2281
2000-01-10,1.0399
2000-01-11,0.0
2000-01-12,0.1715
2000-01-13,-0.6849
2000-01-14,1.0345
2000-01-18,-0.1706
2000-01-19,0.1709
2000-01-20,2.0546
2000-01-21,-1.3559
2000-01-24,-1.0309
2000-01-25,0.0
2000-01-26,0.5208
2000-01-27,-0.3454
2000-01-28,-0.5199
2000-01-31,-1.2195
2000-02-01,0.8818
2000-02-02,0.6993
2000-02-03,0.6944
2000-02-04,-0.3448
2000-02-07,0.173
2000-02-08,0.3454
2000-02-09,1.8933
2000-02-10,-2.1959
2000-02-11,1.8998
2000-02-14,1.3559
2000-02-15,1.0033
2000-02-16,-0.8278
2000-02-17,-1.0017
2000-02-18,-1.3491
2000-02-22,-0.8547
2000-02-23,-1.0345
2000-02-24,0.6969
2000-02-25,-0.519
2000-02-28,-0.8696
2000-02-29,1.9298
2000-03-01,-0.6885
2000-03-02,-1.5598
2000-03-03,-0.1761
2000-03-06,-0.3527
2000-03-07,-0.885
2000-03-08,-0.1786
2000-03-09,0.0
2000-03-10,-1.4311
2000-03-13,0.726
2000-03-14,1.2612999999999999
2000-03-15,1.0676
2000-03-16,3.5211
2000-03-17,-0.1701
2000-03-20,-0.3407
2000-03-21,-2.5641
2000-03-22,0.8772
2000-03-23,-0.5217
2000-03-24,-1.5734
2000-03-27,-1.421
2000-03-28,0.9009
2000-03-29,-0.1786
2000-03-30,0.7156
2000-03-31,3.5524
2000-04-03,-0.8576
2000-04-04,-0.346
2000-04-05,0.0
2000-04-06,0.0
2000-04-07,0.3472
2000-04-10,0.692
2000-04-11,-0.5155
2000-04-12,0.5181
2000-04-13,0.5155
2000-04-14,1.0256
2000-04-17,-1.1844000000000001
2000-04-18,0.0
2000-04-19,-0.1644
2000-04-20,0.6957
2000-04-24,-0.5181
2000-04-25,0.0
2000-04-26,-0.3472
2000-04-27,0.3484
2000-04-28,-0.3472
2000-05-01,1.7422
2000-05-02,1.1985999999999999
2000-05-03,1.0152
2000-05-04,0.1675
2000-05-05,0.6689
2000-05-08,-0.6645
2000-05-09,0.5017
2000-05-10,0.6656
2000-05-11,0.4959
2000-05-12,0.0
2000-05-15,0.8224
2000-05-16,-0.6525
2000-05-17,-2.4631
2000-05-18,-0.3367
2000-05-19,-0.1689
2000-05-22,0.6768
2000-05-23,0.0
