ticker,NMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0359
2000-01-04,0.9346
2000-01-05,2.7778
2000-01-06,-0.9009
2000-01-07,-1.3636
2000-01-10,0.4608
2000-01-11,1.8349
2000-01-12,-1.8018
2000-01-13,-1.8349
2000-01-14,0.9346
2000-01-18,-0.463
2000-01-19,1.3953
2000-01-20,-0.4587
2000-01-21,-0.4608
2000-01-24,-2.3148
2000-01-25,-2.8436
2000-01-26,-1.4634
2000-01-27,-1.4851
2000-01-28,-1.5074999999999998
2000-01-31,2.551
2000-02-01,1.99
2000-02-02,1.4634
2000-02-03,2.8846
2000-02-04,-2.3364
2000-02-07,-0.9569
2000-02-08,0.4831
2000-02-09,-1.4423
2000-02-10,-2.9268
2000-02-11,0.0
2000-02-14,-1.005
2000-02-15,3.0457
2000-02-16,-1.9704000000000002
2000-02-17,1.005
2000-02-18,0.4975
2000-02-22,-0.495
2000-02-23,0.0
2000-02-24,-2.9851
2000-02-25,0.0
2000-02-28,-2.0513
2000-02-29,-1.5707
2000-03-01,3.1915
2000-03-02,-0.5155
2000-03-03,-1.0363
2000-03-06,-6.2827
2000-03-07,0.5587
2000-03-08,2.2222
2000-03-09,-1.087
2000-03-10,-1.6484
2000-03-13,-1.6760000000000002
2000-03-14,0.5682
2000-03-15,7.3446
2000-03-16,6.3158
2000-03-17,-0.9901
2000-03-20,-1.5
2000-03-21,1.5228000000000002
2000-03-22,-4.0
2000-03-23,5.2083
2000-03-24,0.0
2000-03-27,2.9703
2000-03-28,0.0
2000-03-29,3.3654
2000-03-30,0.9302
2000-03-31,-0.4608
2000-04-03,0.463
2000-04-04,-0.4608
2000-04-05,2.7778
2000-04-06,-1.8018
2000-04-07,0.9174
2000-04-10,3.6364
2000-04-11,-1.3158
2000-04-12,-1.0831
2000-04-13,2.4429
2000-04-14,-3.0702
2000-04-17,0.0
2000-04-18,-2.7149
2000-04-19,0.0
2000-04-20,0.9302
2000-04-24,1.8433000000000002
2000-04-25,4.5249
2000-04-26,-0.4329
2000-04-27,-4.3478
2000-04-28,0.9091
2000-05-01,0.4505
2000-05-02,-4.0359
2000-05-03,1.4019
2000-05-04,-1.3825
2000-05-05,0.4673
2000-05-08,1.3953
2000-05-09,0.0
2000-05-10,-0.4587
2000-05-11,1.8433000000000002
2000-05-12,-0.4525
2000-05-15,2.7273
2000-05-16,-1.7699
2000-05-17,-0.9009
2000-05-18,2.2727
2000-05-19,0.0
2000-05-22,0.8889
