ticker,YES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9915
2000-01-04,1.8868
2000-01-05,0.0
2000-01-06,0.1425
2000-01-07,-0.1422
2000-01-10,-0.2849
2000-01-11,0.1429
2000-01-12,0.428
2000-01-13,0.2841
2000-01-14,0.0
2000-01-18,-0.5666
2000-01-19,0.2849
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,-0.2841
2000-01-25,0.2849
2000-01-26,-0.2841
2000-01-27,0.1425
2000-01-28,0.0
2000-01-31,0.4267
2000-02-01,0.5666
2000-02-02,0.2817
2000-02-03,-0.1404
2000-02-04,0.1406
2000-02-07,0.0
2000-02-08,-0.1404
2000-02-09,0.1406
2000-02-10,-0.1404
2000-02-11,-0.9845
2000-02-14,0.4261
2000-02-15,0.7072
2000-02-16,-0.5618
2000-02-17,0.2825
2000-02-18,-0.4225
2000-02-22,-0.5658
2000-02-23,0.1422
2000-02-24,-0.8523
2000-02-25,0.0
2000-02-28,1.2894
2000-02-29,-0.4243
2000-03-01,0.8523
