ticker,BOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.4167
2000-01-04,-1.2448
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,0.4202
2000-01-10,-1.2551999999999999
2000-01-11,0.4237
2000-01-12,-2.1097
2000-01-13,0.0
2000-01-14,1.2931
2000-01-18,0.0
2000-01-19,0.4255
2000-01-20,2.1186
2000-01-21,0.0
2000-01-24,-0.4149
2000-01-25,1.25
2000-01-26,0.4115
2000-01-27,-0.4098
2000-01-28,-0.4115
2000-01-31,-0.4132
2000-02-01,0.4149
2000-02-02,0.4132
2000-02-03,1.2346
2000-02-04,-0.813
2000-02-07,-0.4098
2000-02-08,2.4691
2000-02-09,-3.6145
2000-02-10,-1.25
2000-02-11,0.4219
2000-02-14,3.7815
2000-02-15,-1.2146
2000-02-16,-0.4098
2000-02-17,-1.2346
2000-02-18,-0.4167
2000-02-22,0.0
2000-02-23,-1.2551999999999999
2000-02-24,0.8475
2000-02-25,-0.8403
2000-02-28,0.0
2000-02-29,0.8475
2000-03-01,1.2605
2000-03-02,-0.8299
2000-03-03,-0.4184
2000-03-06,2.521
2000-03-07,-0.4098
2000-03-08,2.8807
2000-03-09,-2.4
2000-03-10,-0.4098
2000-03-13,6.9959
2000-03-14,0.3846
2000-03-15,-0.3831
2000-03-16,0.3846
2000-03-17,-0.3831
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,0.7692
2000-03-24,-0.3817
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,0.3831
2000-04-03,-0.3817
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,0.7663
2000-04-07,-0.3802
2000-04-10,0.0
2000-04-11,0.3817
2000-04-12,0.0
2000-04-13,-0.3802
2000-04-14,0.0
2000-04-17,0.3817
2000-04-18,0.0
2000-04-19,0.0
