ticker,AAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-13,3.6585
2011-01-14,0.2824
2011-01-18,0.2816
2011-01-19,-0.5615
2011-01-20,-0.1882
2011-01-21,0.1886
2011-01-24,0.2353
2011-01-25,-0.1408
2011-01-26,0.0
2011-01-27,0.6112
2011-01-28,-0.4673
2011-01-31,-0.0469
2011-02-01,0.047
2011-02-02,-0.892
2011-02-03,0.3316
2011-02-04,-0.5666
2011-02-07,0.4748
2011-02-08,-0.9924
2011-02-09,0.9069
2011-02-10,0.473
2011-02-11,0.7062
2011-02-14,-0.187
2011-02-15,-0.3279
2011-02-16,0.094
2011-02-17,1.1268
2011-02-18,-0.1393
2011-02-22,-0.4184
2011-02-23,-0.9337
2011-02-24,-0.6598
2011-02-25,1.518
2011-02-28,0.7477
2011-03-01,-0.2783
2011-03-02,-1.5349
2011-03-03,1.5116
2011-03-04,-1.0237
2011-03-07,-1.1283
2011-03-08,1.5215999999999998
2011-03-09,-0.9368
2011-03-10,-1.7967
2011-03-11,0.4815
2011-03-14,1.401
2011-03-15,-0.1906
2011-03-16,-0.4773
2011-03-17,0.3837
2011-03-18,2.7234
2011-03-21,-0.186
2011-03-22,0.1864
2011-03-23,-0.6512
2011-03-24,0.1404
2011-03-25,0.4675
2011-03-28,-0.1861
2011-03-29,-0.8392
2011-03-30,-0.8933
2011-03-31,0.9013
2011-04-01,1.8806
2011-04-04,0.323
2011-04-05,0.046
2011-04-06,0.9195
2011-04-07,-1.9134
2011-04-08,-0.7431
2011-04-11,-0.5615
2011-04-12,-0.0941
2011-04-13,0.7065
2011-04-14,0.0935
2011-04-15,0.4673
2011-04-18,-1.1163
2011-04-19,-0.047
2011-04-20,1.9765000000000001
2011-04-21,0.0461
2011-04-25,0.0
2011-04-26,1.2454
2011-04-27,0.3645
2011-04-28,0.0908
2011-04-29,0.1361
2011-05-02,0.1359
2011-05-03,-0.4071
2011-05-04,-0.4087
2011-05-05,-0.1824
2011-05-06,-0.7766
2011-05-09,0.8287
2011-05-10,0.7763
2011-05-11,-0.1812
2011-05-12,-0.0908
2011-05-13,-0.9541
2011-05-16,-0.2294
2011-05-17,0.1839
2011-05-18,0.413
2011-05-19,0.3199
2011-05-20,-0.6378
2011-05-23,-2.8886
2011-05-24,0.2361
2011-05-25,1.9312
2011-05-26,0.5545
2011-05-27,1.2868
2011-05-31,1.7241
2011-06-01,-2.1409
2011-06-02,-0.5925
2011-06-03,0.0917
2011-06-06,-0.5039
