ticker,UMGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.6037
2000-01-04,-1.5067
2000-01-05,-1.9324
2000-01-06,-1.0673
2000-01-07,0.166
2000-01-10,1.4913
2000-01-11,-0.0816
2000-01-12,3.9215999999999998
2000-01-13,-1.022
2000-01-14,1.8268
2000-01-18,-0.78
2000-01-19,-0.3931
2000-01-20,-0.8682
2000-01-21,0.1592
2000-01-24,-0.7154
2000-01-25,1.0408
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,-1.4263
2000-01-31,2.2508
2000-02-01,0.1572
2000-02-02,-1.0204
2000-02-03,-0.3965
2000-02-04,0.0796
2000-02-07,0.3978
2000-02-08,-0.4754
2000-02-09,-1.4331
2000-02-10,0.9693
2000-02-11,-1.2
2000-02-14,0.6478
2000-02-15,-1.4481
2000-02-16,1.3878
2000-02-17,-0.7246
2000-02-18,-1.7843
2000-02-22,-1.6515
2000-02-23,0.5877
2000-02-24,-0.9182
2000-02-25,-1.6848999999999998
2000-02-28,0.9426
2000-02-29,6.6213999999999995
2000-03-01,-2.7866
2000-03-02,5.1597
2000-03-03,0.0779
2000-03-06,-2.4416
2000-03-07,-0.9273
2000-03-08,0.161
2000-03-09,-0.8039
2000-03-10,1.2966
2000-03-13,-2.0
2000-03-14,-0.6531
2000-03-15,-0.7395
2000-03-16,1.6556
2000-03-17,1.3029
2000-03-20,2.6527
2000-03-21,-0.7048
2000-03-22,0.5521
2000-03-23,1.8039
2000-03-24,2.2342
2000-03-27,0.9043
2000-03-28,-2.0164
2000-03-29,1.1433
2000-03-30,-2.7882
2000-03-31,0.4651
2000-04-03,1.3889
2000-04-04,-2.4353
2000-04-05,-0.78
2000-04-06,1.8082
2000-04-07,0.8494
2000-04-10,-0.0766
2000-04-11,-0.6897
2000-04-12,-2.1991
2000-04-13,0.355
2000-04-14,-2.5157
2000-04-17,-2.7419000000000002
2000-04-18,4.063
2000-04-19,0.239
2000-04-20,-0.6359
2000-04-24,0.32
2000-04-25,3.3493
2000-04-26,-3.3951000000000002
2000-04-27,-2.3962
2000-04-28,-0.982
2000-05-01,3.1405
2000-05-02,-8.6538
2000-05-03,-3.1579
2000-05-04,-0.7246
2000-05-05,-0.4562
2000-05-08,-1.1916
2000-05-09,2.2843
2000-05-10,-2.4147
2000-05-11,-0.3717
2000-05-12,3.6381
2000-05-15,0.8101
2000-05-16,-0.0893
2000-05-17,-1.3405
2000-05-18,-1.9022000000000001
2000-05-19,-2.3084
2000-05-22,0.7561
2000-05-23,-1.6886
2000-05-24,0.3817
2000-05-25,1.9011
2000-05-26,-0.7463
2000-05-30,1.0338
2000-05-31,-0.5581
2000-06-01,0.8419
2000-06-02,-0.5566
2000-06-05,2.5187
2000-06-06,0.9384
2000-06-07,0.3944
2000-06-08,-2.3066
2000-06-09,-1.1949
2000-06-12,-0.4651
2000-06-13,-0.4848
2000-06-14,0.1115
2000-06-21,3.7025
2000-06-22,-0.6756
2000-06-23,0.0
2000-06-26,0.0
2000-06-27,-1.8215
2000-06-28,-0.9276
2000-06-29,-0.5618
2000-06-30,-0.3766
2000-07-03,0.0
2000-07-05,2.8355
2000-07-06,-0.5515
2000-07-07,-0.5545
2000-07-10,0.5576
2000-07-11,-2.403
2000-07-13,1.5152
2000-07-14,0.0
