ticker,THG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.8202
2000-01-04,-2.8037
2000-01-05,-3.8462
2000-01-06,2.0
2000-01-07,0.7353
2000-01-10,-0.2433
2000-01-11,-0.9756
2000-01-12,0.0
2000-01-13,2.5862
2000-01-14,1.3205
2000-01-18,-2.3697
2000-01-19,-2.9126
2000-01-20,-4.75
2000-01-21,-1.4436
2000-01-24,2.2636
2000-01-25,-2.9948
2000-01-26,0.5369
2000-01-27,0.9346
2000-01-28,-0.6614
2000-01-31,-0.3995
2000-02-01,0.4011
2000-02-02,-1.7309999999999999
2000-02-03,3.3875
2000-02-04,2.4902
2000-02-07,-1.023
2000-02-08,-1.1628
2000-02-09,-2.7451
2000-02-10,-4.4355
2000-02-11,0.4219
2000-02-14,0.2801
2000-02-15,0.6983
2000-02-16,0.6935
2000-02-17,-0.1377
2000-02-18,-1.6552
2000-02-22,-0.1403
2000-02-23,-0.8427
2000-02-24,-2.9745
2000-02-25,-0.8759
2000-02-28,-0.7364
2000-02-29,-0.8902
2000-03-01,-1.6467
2000-03-02,-4.5662
2000-03-03,1.7544
2000-03-06,-4.232
2000-03-07,-3.6007
2000-03-08,-3.056
2000-03-09,-1.0508
2000-03-10,2.6549
2000-03-13,4.6552
2000-03-14,2.9654
2000-03-15,5.12
2000-03-16,13.8508
2000-03-17,-3.7433
2000-03-20,3.8889
2000-03-21,1.6042999999999998
2000-03-22,-2.1053
2000-03-23,2.4194
2000-03-24,2.3622
2000-03-27,-2.9487
2000-03-28,1.7173
2000-03-29,-0.6494
2000-03-30,2.3529
2000-03-31,4.2146
2000-04-03,0.0
2000-04-04,-0.7353
2000-04-05,-1.6049
2000-04-06,-0.5019
2000-04-07,0.3783
2000-04-10,-1.1307
2000-04-11,0.7624
2000-04-12,1.5131999999999999
2000-04-13,0.9938
2000-04-14,-6.2731
2000-04-17,-2.7559
2000-04-18,1.0796000000000001
2000-04-19,-0.267
2000-04-20,3.6145
2000-04-24,2.8424
2000-04-25,3.7688
2000-04-26,-0.8475
2000-04-27,-1.8315000000000001
2000-04-28,7.7114
2000-05-01,-1.963
2000-05-02,-0.8245
2000-05-03,-1.1876
2000-05-04,5.0481
2000-05-05,-1.7162
2000-05-08,0.8149
2000-05-09,-2.0785
2000-05-10,-1.4151
2000-05-11,6.9378
2000-05-12,-0.5593
2000-05-15,4.3870000000000005
2000-05-16,-1.1853
2000-05-17,-4.1439
2000-05-18,2.2753
2000-05-19,3.2258
