ticker,CVOVQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-10.1852
2000-01-04,-1.0309
2000-01-05,7.2917
2000-01-06,-0.9709
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,0.9804
2000-01-12,-1.4563
2000-01-13,1.4778
2000-01-14,-5.8252
2000-01-18,0.0
2000-01-19,-1.0309
2000-01-20,0.5208
2000-01-21,-6.2176
2000-01-24,-3.8674
2000-01-25,5.1724
2000-01-26,-4.918
2000-01-27,3.4483
2000-01-28,-3.3333
2000-01-31,0.5747
2000-02-01,1.7143000000000002
2000-02-02,2.2472
2000-02-03,-2.1978
2000-02-04,0.0
2000-02-07,-1.1236
2000-02-08,-3.9773
2000-02-09,-4.7337
2000-02-10,-6.2112
2000-02-11,-1.3245
2000-02-14,0.0
2000-02-15,-0.6711
2000-02-16,-2.7027
2000-02-17,1.3889
2000-02-18,-2.0548
2000-02-22,-4.8951
2000-02-23,2.9412000000000003
2000-02-24,-0.7143
2000-02-25,-3.5971
2000-02-28,0.7463
2000-02-29,2.963
2000-03-01,-3.5971
2000-03-02,2.2388
2000-03-03,-2.9196999999999997
2000-03-06,-2.2556
2000-03-07,-11.538499999999999
2000-03-08,5.2174
2000-03-09,1.6529
2000-03-10,-3.252
2000-03-13,-6.7227
2000-03-14,8.1081
2000-03-15,-2.5
2000-03-16,3.4188
2000-03-17,5.7851
2000-03-20,7.8125
2000-03-21,0.0
2000-03-22,-2.8986
2000-03-23,-2.2388
2000-03-24,1.5267
2000-03-27,-1.5038
2000-03-28,-3.0534
2000-03-29,4.7244
2000-03-30,6.015
2000-03-31,-1.4184
2000-04-03,-1.4388
2000-04-04,-3.6496
2000-04-05,3.0303
2000-04-06,-3.6765
2000-04-07,1.5267
2000-04-10,-4.5113
2000-04-11,3.1496
2000-04-12,-6.8702
2000-04-13,4.918
2000-04-14,-6.25
2000-04-17,8.3333
2000-04-18,1.5385
2000-04-19,8.3333
2000-04-20,0.6993
2000-04-24,-4.8611
2000-04-25,2.9196999999999997
2000-04-26,0.0
2000-04-27,-0.7092
2000-04-28,2.1429
2000-05-01,2.0979
2000-05-02,0.6849
2000-05-03,0.0
2000-05-04,1.3605
2000-05-05,-0.6711
2000-05-08,-2.7027
2000-05-09,1.3889
2000-05-10,1.3699
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,-0.6757
2000-05-16,1.3605
2000-05-17,0.0
2000-05-18,2.0134
2000-05-19,-0.6579
2000-05-22,-1.3245
2000-05-23,-1.3423
