ticker,ABE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.4351
2000-01-04,-6.2731
2000-01-05,-3.1496
2000-01-06,-1.626
2000-01-07,1.6529
2000-01-10,4.4715
2000-01-11,-1.9455
2000-01-12,-0.7937
2000-01-13,5.2
2000-01-14,1.9011
2000-01-18,-0.3731
2000-01-19,-1.8727
2000-01-20,-1.5267
2000-01-21,0.0
2000-01-24,0.7752
2000-01-25,-2.6923
2000-01-26,1.581
2000-01-27,0.3891
2000-01-28,-0.7752
2000-01-31,-2.3438
2000-02-01,1.6
2000-02-02,3.1496
2000-02-03,1.9083999999999999
2000-02-04,1.8727
2000-02-07,4.4118
2000-02-08,7.7465
2000-02-09,0.9804
2000-02-10,-0.3236
2000-02-11,1.9481000000000002
2000-02-14,2.2293
2000-02-15,-3.1153
2000-02-16,-0.3215
2000-02-17,-0.6452
2000-02-18,2.2727
2000-02-22,-5.3968
2000-02-23,0.0
2000-02-24,-1.3423
2000-02-25,1.3605
2000-02-28,-2.6846
2000-02-29,2.069
2000-03-01,1.3514
2000-03-02,2.6667
2000-03-03,1.2987
2000-03-06,0.641
2000-03-07,-3.1847
2000-03-08,2.6316
2000-03-09,2.5641
2000-03-10,-2.5
2000-03-13,-2.8846
2000-03-14,-1.9802
2000-03-15,-4.0404
2000-03-16,-1.0526
2000-03-17,1.0638
2000-03-20,-1.0526
2000-03-21,0.7092
2000-03-22,2.4648
2000-03-23,0.6873
2000-03-24,1.7065000000000001
2000-03-27,1.0067
2000-03-28,0.6645
2000-03-29,-0.33
2000-03-30,-1.9868000000000001
2000-03-31,-1.3514
2000-04-03,-2.7397
2000-04-04,-4.9296
2000-04-05,-1.4815
2000-04-06,0.7519
2000-04-07,3.7313
2000-04-10,2.1583
2000-04-11,-2.1127
2000-04-12,-3.5971
2000-04-13,-0.7463
2000-04-14,-5.2632
2000-04-17,-4.7619
2000-04-18,4.5833
2000-04-19,-0.3984
2000-04-20,-3.2
2000-04-24,-2.4793
2000-04-25,4.661
2000-04-26,2.0243
2000-04-27,-2.3810000000000002
2000-04-28,0.4065
2000-05-01,0.8097
2000-05-02,-0.4016
2000-05-03,-2.4194
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,-1.2397
2000-05-09,-1.6736
2000-05-10,-2.9787
2000-05-11,-0.8772
2000-05-12,-0.4425
2000-05-15,0.8889
2000-05-16,0.4405
2000-05-17,-2.193
2000-05-18,-1.3453
2000-05-19,-1.8182
2000-05-22,-2.7778
