ticker,SCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.9009
2000-01-04,-2.6786
2000-01-05,-3.6696999999999997
2000-01-06,0.9524
2000-01-07,-0.9434
2000-01-10,-3.8095
2000-01-11,5.9406
2000-01-12,-0.9346
2000-01-13,4.717
2000-01-14,-1.8018
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,-2.7523
2000-01-21,-2.8302
2000-01-24,-7.767
2000-01-25,-9.473700000000001
2000-01-26,-8.1395
2000-01-27,1.2658
2000-01-28,0.0
2000-01-31,-8.75
2000-02-01,-8.2192
2000-02-02,10.4478
2000-02-03,16.2162
2000-02-04,-4.6512
2000-02-07,-4.878
2000-02-08,6.4103
2000-02-09,-2.4096
2000-02-10,-7.4074
2000-02-11,-6.6667
2000-02-14,-4.2857
2000-02-15,0.0
2000-02-16,2.9851
2000-02-17,4.3478
2000-02-18,-6.9444
2000-02-22,0.0
2000-02-23,-2.9851
2000-02-24,0.0
2000-02-25,-1.5385
2000-02-28,-3.125
2000-02-29,-4.8387
2000-03-01,3.3898
2000-03-02,9.8361
2000-03-03,-2.9851
2000-03-06,-6.1538
2000-03-07,-1.6393
2000-03-08,-5.0
2000-03-09,-3.5088
2000-03-10,1.8182
2000-03-13,5.3571
2000-03-14,-10.1695
2000-03-15,-3.7736
2000-03-16,-1.9607999999999999
2000-03-17,4.0
2000-03-20,-5.7692
2000-03-21,0.0
2000-03-22,-2.0408
2000-03-23,-2.0833
2000-03-24,6.383
2000-03-27,-2.0
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,-2.0408
2000-04-03,0.0
2000-04-04,-4.1667
2000-04-05,2.1739
2000-04-06,4.2553
2000-04-07,0.0
2000-04-10,4.0816
2000-04-11,3.9215999999999998
2000-04-12,9.434
2000-04-13,31.0345
2000-04-14,-11.8421
2000-04-17,7.4627
2000-04-18,-4.1667
2000-04-19,-2.8986
2000-04-20,5.9701
2000-04-24,14.0845
2000-04-25,6.1728
2000-04-26,0.0
2000-04-27,-5.814
2000-04-28,1.2346
2000-05-01,2.439
2000-05-02,-9.5238
2000-05-03,-6.5789
2000-05-04,-11.2676
2000-05-05,7.9365
2000-05-08,0.0
2000-05-09,5.8824
2000-05-10,-9.7222
2000-05-11,-1.5385
2000-05-12,-4.6875
2000-05-15,-4.918
2000-05-16,1.7241
2000-05-17,1.6949
2000-05-18,-3.3333
2000-05-19,-10.3448
2000-05-22,-3.8462
2000-05-23,6.0
2000-05-24,-9.434
