ticker,MUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0501
2000-01-04,1.4607
2000-01-05,0.2215
2000-01-06,0.7735
2000-01-07,4.8246
2000-01-10,-1.6736
2000-01-11,-0.5319
2000-01-12,-3.2086
2000-01-13,8.3978
2000-01-14,0.3058
2000-01-18,2.1341
2000-01-19,-0.995
2000-01-20,-0.7035
2000-01-21,0.3036
2000-01-24,-3.2291
2000-01-25,1.147
2000-01-26,-1.5464
2000-01-27,-5.3403
2000-01-28,2.5442
2000-01-31,-0.9709
2000-02-01,-0.1089
2000-02-02,-0.3272
2000-02-03,-2.7352
2000-02-04,0.0
2000-02-07,3.0371
2000-02-08,-2.7293
2000-02-09,-4.7138
2000-02-10,2.3086
2000-02-11,-2.8969
2000-02-14,-0.1193
2000-02-15,3.8232
2000-02-16,0.6904
2000-02-17,-1.9428999999999998
2000-02-18,-3.4965
2000-02-22,-2.0531
2000-02-23,-1.4797
2000-02-24,-1.0013
2000-02-25,-1.3906
2000-02-28,2.1795
2000-02-29,1.6311
2000-03-01,4.321
2000-03-02,4.142
2000-03-03,-2.8409
2000-03-06,-0.2339
2000-03-07,7.9719
2000-03-08,1.9544000000000001
2000-03-09,-0.426
2000-03-10,-3.8503
2000-03-13,-1.3348
2000-03-14,-0.7892
2000-03-15,0.5682
2000-03-16,4.4068
2000-03-17,-5.7359
2000-03-20,-1.1481
2000-03-21,3.252
2000-03-22,-0.4499
2000-03-23,-3.7288
2000-03-24,0.0
2000-03-27,-0.3521
2000-03-28,0.3534
2000-03-29,4.2254
2000-03-30,2.4775
2000-03-31,1.3187
2000-04-03,-0.9761
2000-04-04,-3.724
2000-04-05,0.2275
2000-04-06,3.7457000000000003
2000-04-07,-0.4376
2000-04-10,-2.0879
2000-04-11,2.0202
2000-04-12,2.0902
2000-04-13,1.2931
2000-04-14,-0.7447
2000-04-17,0.0
2000-04-18,0.0
2000-04-19,2.8939
2000-04-20,-1.5625
2000-04-24,-0.9524
2000-04-25,1.0684
2000-04-26,0.0
2000-04-27,0.6342
2000-04-28,-0.8403
2000-05-01,0.4237
2000-05-02,0.5274
2000-05-03,-2.6233
2000-05-04,3.2328
2000-05-05,-0.5219
2000-05-08,0.4827
2000-05-09,-1.5756000000000001
2000-05-10,0.7471
2000-05-11,0.8475
2000-05-12,1.3655
2000-05-15,1.9689
2000-05-16,1.4228
2000-05-17,0.3006
2000-05-18,1.1988
2000-05-19,0.8885
2000-05-22,0.6849
2000-05-23,0.0972
