ticker,LEARQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.9063
2000-01-04,0.4065
2000-01-05,-1.8218999999999999
2000-01-06,4.3299
2000-01-07,5.9289
2000-01-10,0.0
2000-01-11,-1.306
2000-01-12,2.0794
2000-01-13,5.0
2000-01-14,-5.291
2000-01-18,-1.1173
2000-01-19,-3.7664999999999997
2000-01-20,-1.7612999999999999
2000-01-21,-1.3944
2000-01-24,-4.2424
2000-01-25,-0.8439
2000-01-26,0.0
2000-01-27,-2.766
2000-01-28,-3.9387
2000-01-31,2.2779
2000-02-01,-2.8952999999999998
2000-02-02,-0.4587
2000-02-03,-0.6912
2000-02-04,0.9281
2000-02-07,-3.2184
2000-02-08,-0.7126
2000-02-09,-3.3493
2000-02-10,-4.9505
2000-02-11,-5.2083
2000-02-14,5.4945
2000-02-15,2.0833
2000-02-16,-4.5918
2000-02-17,-4.8128
2000-02-18,0.5618
2000-02-22,0.5587
2000-02-23,-1.6667
2000-02-24,-5.6497
2000-02-25,-4.1916
2000-02-28,-0.3125
2000-02-29,5.9561
2000-03-01,4.142
2000-03-02,1.4205
2000-03-03,3.9215999999999998
2000-03-06,9.7035
2000-03-07,-1.9656
2000-03-08,4.5113
2000-03-09,-0.9592
2000-03-10,0.2421
2000-03-13,-0.9662
2000-03-14,-1.2195
2000-03-15,1.9752999999999998
2000-03-16,8.9588
2000-03-17,0.2222
2000-03-20,-5.0998
2000-03-21,0.2336
2000-03-22,0.0
2000-03-23,0.6993
2000-03-24,-1.1574
2000-03-27,-0.4684
2000-03-28,-1.6471
2000-03-29,-1.6745999999999999
2000-03-30,0.4866
2000-03-31,8.9588
2000-04-03,-2.6667
2000-04-04,-4.3379
2000-04-05,2.3866
2000-04-06,0.6993
2000-04-07,-2.0833
2000-04-10,2.6005000000000003
2000-04-11,3.2258
2000-04-12,5.5804
2000-04-13,0.6342
2000-04-14,-11.5546
2000-04-17,4.9881
2000-04-18,1.81
2000-04-19,0.4444
2000-04-20,-2.2124
2000-04-24,4.9774
2000-04-25,1.7241
2000-04-26,2.3305
2000-04-27,-4.7619
2000-04-28,4.1304
2000-05-01,-0.2088
2000-05-02,-4.3933
2000-05-03,1.0941
2000-05-04,-1.5152
2000-05-05,1.978
2000-05-08,-2.5862
2000-05-09,2.6549
2000-05-10,-0.6466
2000-05-11,-0.8677
2000-05-12,1.5316999999999998
2000-05-15,-6.0345
2000-05-16,3.6696999999999997
2000-05-17,-3.7611
2000-05-18,-0.6897
