ticker,BOH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.6823
2000-01-04,-1.4035
2000-01-05,0.0
2000-01-06,2.4911
2000-01-07,0.6944
2000-01-10,-1.7241
2000-01-11,-3.5088
2000-01-12,-6.1818
2000-01-13,6.2016
2000-01-14,2.9196999999999997
2000-01-18,0.3546
2000-01-19,-0.7067
2000-01-20,-1.0676
2000-01-21,-2.8777
2000-01-24,-2.963
2000-01-25,4.5802
2000-01-26,-0.365
2000-01-27,1.0989
2000-01-28,-3.2609
2000-01-31,2.9962999999999997
2000-02-01,-0.3636
2000-02-02,0.0
2000-02-03,0.365
2000-02-04,-1.0909
2000-02-07,-3.3088
2000-02-08,0.3802
2000-02-09,-3.0303
2000-02-10,-5.8594
2000-02-11,3.3195
2000-02-14,-2.8112
2000-02-15,2.4793
2000-02-16,0.0
2000-02-17,-0.4032
2000-02-18,-0.8097
2000-02-22,2.0408
2000-02-23,-2.0
2000-02-24,0.702
2000-02-25,-0.8197
2000-02-28,0.8264
2000-02-29,-0.4098
2000-03-01,-3.7037
2000-03-02,2.5641
2000-03-03,4.1667
2000-03-06,-3.2
2000-03-07,3.3058
2000-03-08,-0.4
2000-03-09,3.2129
2000-03-10,1.9455
2000-03-13,0.7634
2000-03-14,-2.2727
2000-03-15,5.4264
2000-03-16,13.2353
2000-03-17,-1.9481000000000002
2000-03-20,-2.649
2000-03-21,3.4013999999999998
2000-03-22,-0.6579
2000-03-23,0.3311
2000-03-24,-0.9901
2000-03-27,-0.3333
2000-03-28,0.0
2000-03-29,-2.0067
2000-03-30,5.1195
2000-03-31,5.5195
2000-04-03,-1.2308
2000-04-04,-0.6231
2000-04-05,-1.2539
2000-04-06,0.9524
2000-04-07,0.3145
2000-04-10,0.627
2000-04-11,3.1153
2000-04-12,0.9063
2000-04-13,-1.7964
2000-04-14,-6.0976
2000-04-17,-0.6494
2000-04-18,4.5752
2000-04-19,-0.3125
2000-04-20,5.0157
2000-04-24,0.0
2000-04-25,1.791
2000-04-26,-3.8123
2000-04-27,-0.6098
2000-04-28,0.9202
2000-05-01,1.5198
2000-05-02,-3.5928
2000-05-03,-2.4845
2000-05-04,-0.6369
2000-05-05,0.9615
2000-05-08,1.2698
2000-05-09,0.627
2000-05-10,-2.8037
2000-05-11,4.4872
2000-05-12,1.8405
2000-05-15,0.9036
2000-05-16,-1.4925
2000-05-17,-1.5152
2000-05-18,3.6923
2000-05-19,-3.2641
2000-05-22,1.227
2000-05-23,1.8182
