ticker,ALX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6329
2000-01-04,0.1592
2000-01-05,0.0
2000-01-06,-0.0795
2000-01-07,0.716
2000-01-10,2.2907
2000-01-11,-2.2394
2000-01-12,3.6334999999999997
2000-01-13,-1.2195
2000-01-14,-3.5494
2000-01-18,-0.08
2000-01-19,0.0
2000-01-20,0.8807
2000-01-21,-0.2381
2000-01-24,-0.0796
2000-01-25,-0.3185
2000-01-26,0.2396
2000-01-27,-0.0797
2000-01-28,0.0
2000-01-31,0.1595
2000-02-01,0.1592
2000-02-02,-0.318
2000-02-03,-0.638
2000-02-04,-0.1605
2000-02-07,-0.3215
2000-02-08,-0.2419
2000-02-09,-0.1617
2000-02-10,-0.1619
2000-02-15,0.0
2000-02-16,0.2433
2000-02-17,0.1618
2000-02-18,-0.1616
2000-02-22,-0.4045
2000-02-24,0.0
2000-02-25,-1.2185
2000-02-28,-0.8224
2000-02-29,0.4146
2000-03-01,-0.0826
2000-03-06,0.0
2000-03-07,-0.1653
2000-03-08,-0.6623
2000-03-09,0.0
2000-03-10,-1.3333
2000-03-14,0.0
2000-03-15,0.1689
2000-03-16,-1.5177
2000-03-17,-0.6849
2000-03-20,-1.3793
2000-03-21,0.7867
2000-03-23,-0.0867
2000-03-27,0.0
2000-03-28,-2.5174
2000-03-29,-0.089
2000-03-30,-1.7825
2000-03-31,-7.804
2000-04-03,0.3937
2000-04-04,1.5686
2000-04-05,0.1931
2000-04-11,0.1927
2000-04-12,0.1923
2000-04-13,-0.1919
2000-04-14,-0.5769
2000-04-17,-0.9671
2000-04-19,0.7813
2000-04-20,1.1628
2000-04-24,-0.7663
2000-04-26,0.5792
2000-04-28,0.5758
2000-05-01,0.7634
2000-05-02,0.947
2000-05-03,1.1257
2000-05-04,-0.0928
2000-05-09,0.0
2000-05-10,-0.4643
2000-05-12,0.7463
2000-05-15,0.6481
2000-05-16,0.46
2000-05-18,-0.1832
2000-05-22,-2.2018
2000-05-23,0.5629
2000-05-24,0.0
2000-05-25,0.9328
2000-05-31,-0.2773
2000-06-01,-1.1121
2000-06-02,1.1246
2000-06-06,0.0
2000-06-08,1.2048
2000-06-09,0.0
2000-06-12,0.0
2000-06-13,1.5568
2000-06-14,3.2462
2000-06-15,1.5721
2000-06-16,0.0
2000-06-19,-0.6019
2000-06-20,-1.0381
2000-06-22,0.1748
2000-06-23,-0.0873
2000-06-26,0.524
2000-06-27,0.3475
2000-06-28,0.2597
2000-06-29,0.0
