ticker,INGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4351
2000-01-04,-3.9526
2000-01-05,3.2922000000000002
2000-01-06,-1.992
2000-01-07,1.4228
2000-01-10,-2.6052
2000-01-11,-1.8519
2000-01-12,-1.2579
2000-01-13,5.0955
2000-01-14,-1.8182
2000-01-18,-2.8807
2000-01-19,-12.0763
2000-01-20,-13.253
2000-01-21,6.6667
2000-01-24,1.5625
2000-01-25,1.2821
2000-01-26,-2.2785
2000-01-27,-1.0363
2000-01-28,-3.6649000000000003
2000-01-31,0.0
2000-02-01,-0.2717
2000-02-02,0.2725
2000-02-03,1.6303999999999998
2000-02-04,-0.2674
2000-02-07,1.0724
2000-02-08,0.2653
2000-02-09,-0.2646
2000-02-10,-0.7958
2000-02-11,0.0
2000-02-14,-1.0695000000000001
2000-02-15,1.3514
2000-02-16,-0.2667
2000-02-17,0.5348
2000-02-18,-2.1277
2000-02-22,5.9783
2000-02-23,0.5128
2000-02-24,-0.5102
2000-02-25,-2.0513
2000-02-28,-0.7853
2000-02-29,-0.5277
2000-03-01,1.3263
2000-03-02,-1.3089
2000-03-03,-0.2653
2000-03-06,-0.266
2000-03-07,-1.8667
2000-03-08,2.9891
2000-03-09,-2.1108
2000-03-10,0.8086
2000-03-13,-2.4064
2000-03-14,0.0
2000-03-15,0.5479
2000-03-16,13.079
2000-03-17,-3.3735
2000-03-20,-5.2369
2000-03-21,0.0
2000-03-22,-0.7895
2000-03-23,0.7958
2000-03-24,0.5263
2000-03-27,-2.0942
2000-03-28,-1.0695000000000001
2000-03-29,8.2703
2000-03-30,-2.005
2000-03-31,-1.5345
2000-04-03,-4.4156
2000-04-04,0.8152
2000-04-05,1.3477000000000001
2000-04-06,-0.7979
2000-04-07,-0.5362
2000-04-10,-0.5391
2000-04-11,5.9620999999999995
2000-04-12,2.3018
2000-04-13,-1.0
2000-04-14,-7.8283000000000005
2000-04-17,5.4795
2000-04-18,-1.2987
2000-04-19,-0.7895
2000-04-20,-1.3263
2000-04-24,5.914
2000-04-25,0.5076
2000-04-26,-3.5354
2000-04-27,-1.0471
2000-04-28,1.5873
2000-05-01,1.0417
2000-05-02,-2.0619
2000-05-03,3.1579
2000-05-04,-0.2551
2000-05-05,-1.5345
2000-05-08,-0.7792
2000-05-09,-0.7853
2000-05-10,-0.7916
2000-05-11,4.7872
2000-05-12,-2.2843
2000-05-15,3.8961
2000-05-16,-1.5
2000-05-17,1.5228000000000002
2000-05-18,-1.75
