ticker,HU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.89
2000-01-04,-3.0848
2000-01-05,1.8568
2000-01-06,-0.2604
2000-01-07,-1.3054999999999999
2000-01-10,0.5291
2000-01-11,-1.3158
2000-01-12,-0.2667
2000-01-13,4.2781
2000-01-14,2.0513
2000-01-18,-2.2613
2000-01-19,-1.7995
2000-01-20,-0.7853
2000-01-21,-0.5277
2000-01-24,-2.122
2000-01-25,-0.271
2000-01-26,6.25
2000-01-27,-2.5575
2000-01-28,-2.0997
2000-01-31,0.2681
2000-02-01,2.4064
2000-02-02,-1.8277
2000-02-03,-1.0638
2000-02-04,-1.3441
2000-02-07,-2.9973
2000-02-08,-1.9663
2000-02-09,-0.8596
2000-02-10,-3.1792
2000-02-11,-0.8955
2000-02-14,-2.4096
2000-02-15,0.3086
2000-02-16,2.4615
2000-02-17,0.9009
2000-02-18,-5.6548
2000-02-22,2.8391
2000-02-23,-1.2422
2000-02-24,-3.1447
2000-02-25,2.9221
2000-02-28,7.8864
2000-02-29,-5.5556
2000-03-01,1.548
2000-03-02,-2.7439
2000-03-03,0.627
2000-03-06,0.0
2000-03-07,-2.1807
2000-03-08,-1.5924
2000-03-09,3.8834999999999997
2000-03-10,-3.7382999999999997
2000-03-13,-6.4725
2000-03-14,2.0761
2000-03-15,8.4746
2000-03-16,14.6875
2000-03-17,-4.9046
2000-03-20,-6.0172
2000-03-21,3.6585
2000-03-22,-2.9412000000000003
2000-03-23,0.0
2000-03-24,4.8485
2000-03-27,-7.8035
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,1.2539
2000-03-31,7.4303
2000-04-03,2.8818
2000-04-04,-1.6806999999999999
2000-04-05,0.2849
2000-04-06,0.0
2000-04-07,-7.3864
2000-04-10,-4.2945
2000-04-11,-0.3205
2000-04-12,4.5016
2000-04-13,0.9231
2000-04-14,-1.8293
2000-04-17,0.9317
2000-04-18,1.8462
2000-04-19,-0.3021
2000-04-20,1.8182
2000-04-24,-0.5952
2000-04-25,6.5868
2000-04-26,-0.8427
2000-04-27,0.0
2000-04-28,2.2663
2000-05-01,2.4931
2000-05-02,-4.8649000000000004
2000-05-03,0.2841
2000-05-04,-1.983
2000-05-05,-2.8902
2000-05-08,5.6548
2000-05-09,-2.2535
2000-05-10,-6.0519
2000-05-11,4.6012
2000-05-12,-0.5865
2000-05-15,3.8348
2000-05-16,1.1364
2000-05-17,0.8427
2000-05-18,0.2817
2000-05-19,-2.5281000000000002
