ticker,AMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.1274
2000-01-04,-5.6452
2000-01-05,2.5641
2000-01-06,6.6667
2000-01-07,1.5625
2000-01-10,7.6923
2000-01-11,-1.4285999999999999
2000-01-12,5.0725
2000-01-13,4.1379
2000-01-14,6.9536
2000-01-18,-3.4056
2000-01-19,5.1282
2000-01-20,-6.4024
2000-01-21,-1.3029
2000-01-24,-8.9109
2000-01-25,15.942
2000-01-26,-7.5
2000-01-27,-0.1689
2000-01-28,-4.5685
2000-01-31,2.1277
2000-02-01,1.5625
2000-02-02,-1.3675
2000-02-03,8.1456
2000-02-04,-1.1218
2000-02-07,7.1313
2000-02-08,0.1513
2000-02-09,1.6616
2000-02-10,1.0401
2000-02-11,7.0588
2000-02-14,-4.9451
2000-02-15,0.578
2000-02-16,0.5747
2000-02-17,-1.7143000000000002
2000-02-18,0.0
2000-02-22,-2.7616
2000-02-23,-1.7936999999999999
2000-02-24,3.653
2000-02-25,-4.8458
2000-02-28,-6.7901
2000-02-29,4.6358
2000-03-01,2.5316
2000-03-02,-3.0864
2000-03-03,5.7325
2000-03-06,14.4578
2000-03-07,15.7895
2000-03-08,-2.7273
2000-03-09,8.6449
2000-03-10,-10.5376
2000-03-13,-0.9615
2000-03-14,-6.7961
2000-03-15,2.6042
2000-03-16,-0.1269
2000-03-17,1.6518000000000002
2000-03-20,7.5
2000-03-21,1.9767000000000001
2000-03-22,4.9031
2000-03-23,-3.6957
2000-03-24,-2.4831
2000-03-27,0.3472
2000-03-28,1.7301
2000-03-29,-0.6803
2000-03-30,9.589
2000-03-31,-1.6667
2000-04-03,3.178
2000-04-04,0.4107
2000-04-05,11.8609
2000-04-06,3.8391
2000-04-07,6.338
2000-04-10,0.0
2000-04-11,-6.457
2000-04-12,7.6106
2000-04-13,-6.5789
2000-04-14,-7.0423
2000-04-17,10.0379
2000-04-18,8.778
2000-04-19,-4.7468
2000-04-20,3.9867
2000-04-24,3.5144
2000-04-25,8.0247
2000-04-26,-6.0
2000-04-27,3.6474
2000-04-28,2.6393
2000-05-01,1.0
2000-05-02,1.2730000000000001
2000-05-03,-1.9553
2000-05-04,2.5641
2000-05-05,2.2222
2000-05-08,-3.5326
2000-05-09,-5.9155
2000-05-10,-4.2665
2000-05-11,9.7733
2000-05-12,-2.3504
2000-05-15,-0.2188
2000-05-16,3.5088
2000-05-17,-3.9548
2000-05-18,1.7647
2000-05-19,-3.1069
2000-05-22,-3.9523
2000-05-23,-6.2112
