ticker,SHAW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9752999999999998
2000-01-04,-1.2594
2000-01-05,0.5102
2000-01-06,-0.5076
2000-01-07,3.0612
2000-01-10,-3.9604
2000-01-11,5.1546
2000-01-12,1.4706000000000001
2000-01-13,5.5556
2000-01-14,-2.9748
2000-01-18,-1.8868
2000-01-19,-3.125
2000-01-20,-4.7146
2000-01-21,2.8646000000000003
2000-01-24,-0.7595
2000-01-25,-5.6122
2000-01-26,1.0811
2000-01-27,-1.6042999999999998
2000-01-28,0.2717
2000-01-31,0.0
2000-02-01,2.439
2000-02-02,10.3175
2000-02-03,5.7554
2000-02-04,-2.0408
2000-02-07,-3.7037
2000-02-08,-3.3654
2000-02-09,-0.7463
2000-02-10,0.2506
2000-02-11,-1.0
2000-02-14,-0.2525
2000-02-15,3.7975
2000-02-16,1.2195
2000-02-17,-2.8916
2000-02-18,-1.4888
2000-02-22,-1.2594
2000-02-23,-2.551
2000-02-24,-1.8325
2000-02-25,2.4
2000-02-28,-0.7813
2000-02-29,2.8871
2000-03-01,5.8673
2000-03-02,-0.241
2000-03-03,-2.1739
2000-03-06,-1.7284000000000002
2000-03-07,5.5276
2000-03-08,-0.2381
2000-03-09,-0.716
2000-03-10,-0.4808
2000-03-13,6.5217
2000-03-14,7.9365
2000-03-15,-2.3109
2000-03-16,3.871
2000-03-17,5.176
2000-03-20,-4.3307
2000-03-21,1.8519
2000-03-22,1.8182
2000-03-23,1.3889
2000-03-24,-1.5655999999999999
2000-03-27,-0.994
2000-03-28,6.2249
2000-03-29,5.8601
2000-03-30,-2.1429
2000-03-31,2.9196999999999997
2000-04-03,3.0142
2000-04-04,-6.0241
2000-04-05,-2.1978
2000-04-06,2.2472
2000-04-07,4.0293
2000-04-10,0.7042
2000-04-11,0.6993
2000-04-12,4.3403
2000-04-13,1.1647
2000-04-14,-3.125
2000-04-17,-2.8862
2000-04-18,-1.3986
2000-04-19,-0.3546
2000-04-20,-0.7117
2000-04-24,-1.2545
2000-04-25,-1.4519
2000-04-26,2.3941
2000-04-27,-0.7194
2000-04-28,3.0797
2000-05-01,4.0422
2000-05-02,5.4054
2000-05-03,-1.6026
2000-05-04,0.9772
2000-05-05,-2.4194
2000-05-08,2.1488
2000-05-09,3.7217000000000002
2000-05-10,3.5881
2000-05-11,3.9157
2000-05-12,2.3188
2000-05-15,-0.4249
2000-05-16,-2.7027
2000-05-17,0.0
2000-05-18,0.731
2000-05-19,-0.1451
