ticker,CY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.3514
2000-01-04,-8.0
2000-01-05,-1.2422
2000-01-06,-2.5157
2000-01-07,1.2903
2000-01-10,8.0679
2000-01-11,-2.3576
2000-01-12,15.0905
2000-01-13,-0.3497
2000-01-14,4.0351
2000-01-18,-3.5413
2000-01-19,0.6993
2000-01-20,3.9931
2000-01-21,-2.8381
2000-01-24,0.5155
2000-01-25,-0.5128
2000-01-26,-1.0309
2000-01-27,-3.6458
2000-01-28,-1.4414
2000-01-31,-2.011
2000-02-01,8.9552
2000-02-02,-4.1096
2000-02-03,2.5
2000-02-04,3.3101
2000-02-07,4.2159
2000-02-08,5.3398
2000-02-09,1.0753
2000-02-10,0.0
2000-02-11,-0.152
2000-02-14,-2.5875
2000-02-15,-1.0937999999999999
2000-02-16,0.0
2000-02-17,5.6872
2000-02-18,-4.1854
2000-02-22,-1.248
2000-02-23,0.9479
2000-02-24,4.5383
2000-02-25,-1.7964
2000-02-28,-2.2866
2000-02-29,14.1966
2000-03-01,-6.0109
2000-03-02,1.1628
2000-03-03,4.5977
2000-03-06,3.1593
2000-03-07,6.3915
2000-03-08,2.378
2000-03-09,1.7115
2000-03-10,-9.6154
2000-03-13,1.3298
2000-03-14,-10.105
2000-03-15,2.3358
2000-03-16,2.4251
2000-03-17,2.507
2000-03-20,7.8804
2000-03-21,1.7631999999999999
2000-03-22,5.5693
2000-03-23,-2.3447
2000-03-24,0.4802
2000-03-27,-0.5974
2000-03-28,-4.2067
2000-03-29,-9.661200000000001
2000-03-30,1.1111
2000-03-31,8.2418
2000-04-03,-8.3756
2000-04-04,-0.277
2000-04-05,2.3611
2000-04-06,12.8901
2000-04-07,2.8846
2000-04-10,0.0
2000-04-11,-1.4019
2000-04-12,-9.0047
2000-04-13,5.2083
2000-04-14,-9.0347
2000-04-17,6.6667
2000-04-18,7.1429
2000-04-19,-5.3571
2000-04-20,-2.1384
2000-04-24,-5.3985
2000-04-25,13.0435
2000-04-26,-3.8462
2000-04-27,5.875
2000-04-28,-1.6529
2000-05-01,-1.0804
2000-05-02,-0.9709
2000-05-03,-2.9412000000000003
2000-05-04,4.1667
2000-05-05,12.0
2000-05-08,-3.0303
2000-05-09,-6.4732
2000-05-10,-7.7566
2000-05-11,7.6326
2000-05-12,-4.5673
2000-05-15,2.0151
2000-05-16,3.2099
2000-05-17,-4.067
2000-05-18,-1.7456
2000-05-19,-6.0914
2000-05-22,-7.027
2000-05-23,-4.6512
