ticker,LSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6364
2000-01-04,-1.4151
2000-01-05,0.7177
2000-01-06,1.4252
2000-01-07,1.8735
2000-01-10,-0.9195
2000-01-11,-0.9281
2000-01-12,1.171
2000-01-13,4.3981
2000-01-14,0.0
2000-01-18,0.4435
2000-01-19,-0.6623
2000-01-20,1.3333
2000-01-21,1.3158
2000-01-24,-2.1645
2000-01-25,-2.6549
2000-01-26,-1.1364
2000-01-27,2.5286999999999997
2000-01-28,0.4484
2000-01-31,-0.2232
2000-02-01,1.1186
2000-02-02,0.0
2000-02-03,-0.6637
2000-02-04,0.4454
2000-02-07,1.9956
2000-02-08,3.4783
2000-02-09,0.8403
2000-02-10,8.125
2000-02-11,-1.1561
2000-02-14,10.9162
2000-02-15,-4.7452
2000-02-16,-1.6604999999999999
2000-02-17,2.0638
2000-02-18,0.9191
2000-02-22,2.3679
2000-02-23,1.9573
2000-02-24,0.0
2000-02-25,-2.0942
2000-02-28,-0.1783
2000-02-29,7.1429
2000-03-01,2.8333
2000-03-02,-0.6483
2000-03-03,0.0
2000-03-06,1.7945
2000-03-07,2.2436
2000-03-08,-1.8809
2000-03-09,2.2364
2000-03-10,-0.4688
2000-03-13,3.2967
2000-03-14,0.7599
2000-03-15,1.6591
2000-03-16,4.8961
2000-03-17,-1.5558999999999998
2000-03-20,1.7241
2000-03-21,3.3898
2000-03-22,3.5519
2000-03-23,0.7916
2000-03-24,-4.4503
2000-03-27,-1.5068000000000001
2000-03-28,-5.9805
2000-03-29,0.5917
2000-03-30,6.0294
2000-03-31,3.4674
2000-04-03,5.2279
2000-04-04,1.0191
2000-04-05,-1.2610000000000001
2000-04-06,0.1277
2000-04-07,1.9133
2000-04-10,4.6308
2000-04-11,-2.512
2000-04-12,-2.8221
2000-04-13,1.1364
2000-04-14,-1.7478
2000-04-17,-20.4574
2000-04-18,12.3003
2000-04-19,2.276
2000-04-20,-4.4506
2000-04-24,-4.5123999999999995
2000-04-25,9.1463
2000-04-26,-1.5363
2000-04-27,2.8369
2000-04-28,1.7931
2000-05-01,-0.4065
2000-05-02,1.9048
2000-05-03,-0.267
2000-05-04,3.079
2000-05-05,-0.3896
2000-05-08,1.9557
2000-05-09,0.2558
2000-05-10,0.3827
2000-05-11,-1.6518000000000002
2000-05-12,4.2636
2000-05-15,2.8501
2000-05-16,-1.3253
2000-05-17,0.9768
2000-05-18,-0.1209
2000-05-19,-0.7264
2000-05-22,-3.0488
