ticker,MNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-18,-0.7921
2009-11-19,0.0
2009-11-20,0.2395
2009-11-23,0.3982
2009-11-24,-0.1587
2009-11-25,-0.1589
2009-11-27,-0.5173
2009-11-30,0.52
2009-12-01,-0.4377
2009-12-02,0.0799
2009-12-03,-0.3594
2009-12-04,-0.4008
2009-12-07,0.2012
2009-12-08,0.0924
2009-12-09,-0.3731
2009-12-10,0.3222
2009-12-11,0.3212
2009-12-14,1.2405
2009-12-15,0.1186
2009-12-16,0.1974
2009-12-17,0.5122
2009-12-18,-0.4312
2009-12-21,1.3780000000000001
2009-12-22,-0.7767
2009-12-23,0.2803
2009-12-24,-0.0781
2009-12-28,0.1953
2009-12-29,-0.5848
2009-12-30,0.1569
2009-12-31,-0.1958
2010-01-04,0.8148
2010-01-05,-0.3933
2010-01-06,0.4039
2010-01-07,0.1946
2010-01-08,-0.6602
2010-01-11,0.505
2010-01-12,-0.2302
2010-01-13,0.2339
2010-01-14,-0.0078
2010-01-15,-0.2256
2010-01-19,1.1696
2010-01-20,-1.2717
2010-01-21,0.9758
2010-01-22,-0.4252
2010-01-25,-0.4663
2010-01-26,1.0145
2010-01-27,-0.6178
2010-01-28,0.1943
2010-01-29,-0.6592
2010-02-01,0.6635
2010-02-02,0.0388
2010-02-03,0.3876
2010-02-04,-1.4285999999999999
2010-02-05,0.0
2010-02-08,-0.1175
2010-02-09,0.9412
2010-02-10,-0.6211
2010-02-11,1.2505
2010-02-12,-0.1931
2010-02-16,-0.1934
2010-02-17,0.5039
2010-02-18,0.108
2010-02-19,0.0848
2010-02-22,-0.1929
2010-02-23,-0.5009
2010-02-24,0.6744
2010-02-25,-0.0462
2010-02-26,-0.0231
2010-03-01,-0.601
2010-03-02,0.7752
2010-03-03,-0.1154
2010-03-04,-0.1155
2010-03-05,1.3107
2010-03-08,-0.175
2010-03-09,-0.2058
2010-03-10,0.382
2010-03-11,-0.0761
2010-03-12,-0.4189
2010-03-15,-0.0387
2010-03-16,-0.076
2010-03-17,0.8806
2010-03-18,-0.4175
2010-03-19,-0.1524
2010-03-22,-0.229
2010-03-23,-0.1913
2010-03-24,-0.0038
2010-03-25,-1.1077
2010-03-26,0.0388
2010-03-29,0.155
2010-03-30,0.619
2010-03-31,0.0769
2010-04-01,0.2689
2010-04-05,0.613
2010-04-06,-0.1523
2010-04-07,-0.1526
2010-04-08,0.0764
2010-04-09,0.1527
2010-04-12,-0.1148
2010-04-13,-0.3048
