ticker,MDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5936
2000-01-04,-0.8097
2000-01-05,0.8163
2000-01-06,-0.4049
2000-01-07,1.626
2000-01-10,-0.8
2000-01-11,-1.2097
2000-01-12,0.8163
2000-01-13,2.834
2000-01-14,0.0
2000-01-18,0.7874
2000-01-19,1.5625
2000-01-20,-4.6154
2000-01-21,-2.8226
2000-01-24,-1.6598000000000002
2000-01-25,-3.7975
2000-01-26,0.8772
2000-01-27,0.8696
2000-01-28,3.0
2000-01-31,-5.042
2000-02-01,-2.2124
2000-02-02,-0.4525
2000-02-03,2.7273
2000-02-04,0.0
2000-02-07,1.3274
2000-02-08,-0.4367
2000-02-09,-1.7544
2000-02-10,-0.4464
2000-02-11,-0.4484
2000-02-14,0.9009
2000-02-15,-1.7856999999999998
2000-02-16,-1.8182
2000-02-17,1.8519
2000-02-18,-1.3636
2000-02-22,4.6083
2000-02-23,5.7269
2000-02-24,2.9167
2000-02-25,-6.4777000000000005
2000-02-28,2.1645
2000-02-29,2.9661
2000-03-01,-0.4115
2000-03-02,-2.4793
2000-03-03,0.4237
2000-03-06,-0.4219
2000-03-07,0.4237
2000-03-08,1.2658
2000-03-09,-1.6667
2000-03-10,-0.8475
2000-03-13,-3.8462
2000-03-14,-0.4444
2000-03-15,2.2321
2000-03-16,4.8035
2000-03-17,0.8333
2000-03-20,0.8264
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,3.6885
2000-03-24,1.581
2000-03-27,1.5564
2000-03-28,-1.5326
2000-03-29,3.8911
2000-03-30,-1.1236
2000-03-31,8.7121
2000-04-03,-2.439
2000-04-04,0.0
2000-04-05,5.0
2000-04-06,0.0
2000-04-07,2.0408
2000-04-10,-5.6667
2000-04-11,0.7067
2000-04-12,3.1579
2000-04-13,-3.0612
2000-04-14,-5.9649
2000-04-17,-1.4925
2000-04-18,-1.1364
2000-04-19,3.8314
2000-04-20,1.476
2000-04-24,-1.4545
2000-04-25,1.476
2000-04-26,2.5455
2000-04-27,1.7730000000000001
2000-04-28,6.2718
2000-05-01,0.9836
2000-05-02,-0.3247
2000-05-03,-1.3029
2000-05-04,0.6469
2000-05-05,1.9737
2000-05-08,-1.9355
2000-05-09,0.0
2000-05-10,1.3158
2000-05-11,3.5714
2000-05-12,-8.1505
2000-05-15,2.3891
2000-05-16,6.3333
2000-05-17,-2.1944
2000-05-18,-0.641
2000-05-19,-0.6452
2000-05-22,-1.6234
2000-05-23,0.33
2000-05-24,0.0
