ticker,DLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2779
2000-01-04,-1.8648
2000-01-05,-0.9501
2000-01-06,-0.2398
2000-01-07,2.4038
2000-01-10,-2.1127
2000-01-11,0.9592
2000-01-12,0.4751
2000-01-13,2.1277
2000-01-14,-1.1574
2000-01-18,-0.7026
2000-01-19,0.7075
2000-01-20,0.0
2000-01-21,0.4684
2000-01-24,-1.3986
2000-01-25,-1.182
2000-01-26,-0.7177
2000-01-27,0.0
2000-01-28,0.9639
2000-01-31,2.148
2000-02-01,2.5701
2000-02-02,4.1002
2000-02-03,1.5316999999999998
2000-02-04,-1.9397
2000-02-07,-5.4945
2000-02-08,0.4651
2000-02-09,-2.0833
2000-02-10,-2.8369
2000-02-11,-2.1898
2000-02-14,-2.9851
2000-02-15,0.2564
2000-02-16,-0.7673
2000-02-17,0.4948
2000-02-18,-3.3854
2000-02-22,0.5391
2000-02-23,2.1448
2000-02-24,-3.9370000000000003
2000-02-25,-3.0055
2000-02-28,4.2254
2000-02-29,1.3514
2000-03-01,2.4
2000-03-02,0.0
2000-03-03,-0.5208
2000-03-06,-2.8796
2000-03-07,-2.1563
2000-03-08,2.2039
2000-03-09,5.6604
2000-03-10,1.0204
2000-03-13,-0.7576
2000-03-14,0.0
2000-03-15,3.8167999999999997
2000-03-16,8.3333
2000-03-17,-2.7149
2000-03-20,1.1628
2000-03-21,-0.4598
2000-03-22,-2.7714
2000-03-23,2.3753
2000-03-24,-3.7123
2000-03-27,-2.6506
2000-03-28,2.7228
2000-03-29,0.241
2000-03-30,2.4038
2000-03-31,-0.4695
2000-04-03,0.2358
2000-04-04,-3.2941
2000-04-05,-0.7299
2000-04-06,1.2255
2000-04-07,-0.4843
2000-04-10,-0.7299
2000-04-11,-2.6961
2000-04-12,6.801
2000-04-13,-0.2358
2000-04-14,-3.7824999999999998
2000-04-17,-0.4914
2000-04-18,0.4938
2000-04-19,0.2457
2000-04-20,0.4902
2000-04-24,-2.6829
2000-04-25,1.5038
2000-04-26,3.7037
2000-04-27,-2.1429
2000-04-28,-1.9465
2000-05-01,2.4814
2000-05-02,0.9685
2000-05-03,-3.8369
2000-05-04,-0.2494
2000-05-05,0.5
2000-05-08,-0.4975
2000-05-09,0.0
2000-05-10,1.5
2000-05-11,2.2167
2000-05-12,-0.4819
2000-05-15,-1.6949
2000-05-16,1.4778
2000-05-17,0.0
2000-05-18,0.7087
2000-05-19,-0.2445
2000-05-22,-2.451
2000-05-23,3.0151
