ticker,LSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.349
2000-01-04,-1.9279
2000-01-05,-0.3448
2000-01-06,2.0761
2000-01-07,4.4068
2000-01-10,0.6494
2000-01-11,-0.6452
2000-01-12,0.6494
2000-01-13,0.0
2000-01-14,-1.2903
2000-01-18,1.9607999999999999
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,-1.6026
2000-01-24,0.9772
2000-01-25,-0.9677
2000-01-26,-0.9772
2000-01-27,-0.6579
2000-01-28,0.0
2000-01-31,0.3311
2000-02-01,-1.3201
2000-02-02,1.6722000000000001
2000-02-03,1.3158
2000-02-04,-1.2987
2000-02-07,2.3026
2000-02-08,-1.9293
2000-02-09,0.0
2000-02-10,2.623
2000-02-11,-2.5559
2000-02-14,0.3279
2000-02-15,2.2876
2000-02-16,-0.9585
2000-02-17,-0.3226
2000-02-18,-1.6181
2000-02-22,-1.3158
2000-02-23,-0.3333
2000-02-24,0.3344
2000-02-25,0.6667
2000-02-28,0.3311
2000-02-29,0.0
2000-03-01,0.9901
2000-03-02,-0.9804
2000-03-03,1.6502
2000-03-06,-0.974
2000-03-07,-0.9836
2000-03-08,1.6556
2000-03-09,-1.6287
2000-03-10,-0.9934
2000-03-13,2.6756
2000-03-14,-1.3029
2000-03-15,-1.3201
2000-03-16,5.0167
2000-03-17,0.0
2000-03-20,0.6369
2000-03-21,0.9494
2000-03-22,0.3135
2000-03-23,-1.25
2000-03-24,-2.2152
2000-03-27,3.5599
2000-03-28,-1.25
2000-03-29,-1.8987
2000-03-30,2.2580999999999998
2000-03-31,2.2082
2000-04-03,-2.1605
2000-04-04,1.6151
2000-04-05,-2.2364
2000-04-06,0.3268
2000-04-07,1.3029
2000-04-10,-0.3215
2000-04-11,0.9677
2000-04-12,0.9585
2000-04-13,0.9494
2000-04-14,0.627
2000-04-17,-0.3115
2000-04-18,-1.5625
2000-04-19,0.6349
2000-04-20,2.2082
2000-04-24,-1.5432000000000001
2000-04-25,3.4483
2000-04-26,-1.5152
2000-04-27,2.4615
2000-04-28,-1.2012
2000-05-01,0.9119
2000-05-02,0.9036
2000-05-03,0.597
2000-05-04,-0.2967
2000-05-05,-0.8929
2000-05-08,-0.6006
2000-05-09,0.6042
2000-05-10,-2.7027
2000-05-11,1.5432000000000001
2000-05-12,-0.9119
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,-0.6135
2000-05-18,-2.1605
2000-05-19,0.3155
2000-05-22,3.1447
2000-05-23,-1.5244
