ticker,JWN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1378
2000-01-04,-3.8834999999999997
2000-01-05,-1.7677
2000-01-06,4.8843
2000-01-07,0.0
2000-01-10,-0.9804
2000-01-11,-1.2376
2000-01-12,-4.01
2000-01-13,-4.4386
2000-01-14,1.3660999999999999
2000-01-18,-2.965
2000-01-19,3.3333
2000-01-20,-2.4194
2000-01-21,-1.6529
2000-01-24,-1.9607999999999999
2000-01-25,0.2857
2000-01-26,4.2735
2000-01-27,-1.6393
2000-01-28,-3.0556
2000-01-31,0.8596
2000-02-01,0.2841
2000-02-02,0.2833
2000-02-03,1.6949
2000-02-04,2.2222
2000-02-07,-1.6303999999999998
2000-02-08,4.9724
2000-02-09,-3.6842
2000-02-10,0.2732
2000-02-11,-4.0872
2000-02-14,-4.5455
2000-02-15,-2.6786
2000-02-16,-4.2813
2000-02-17,1.5974
2000-02-18,5.6604
2000-02-22,1.1905000000000001
2000-02-23,-1.1764999999999999
2000-02-24,-4.7619
2000-02-25,2.275
2000-02-28,0.3067
2000-02-29,4.2813
2000-03-01,0.0
2000-03-02,0.2933
2000-03-03,5.2632
2000-03-06,-2.2222
2000-03-07,-3.4091
2000-03-08,2.6471
2000-03-09,2.2923
2000-03-10,-0.8403
2000-03-13,-2.5423999999999998
2000-03-14,-1.4493
2000-03-15,9.4118
2000-03-16,6.9892
2000-03-17,-3.7688
2000-03-20,0.7833
2000-03-21,3.3679
2000-03-22,-1.2530999999999999
2000-03-23,11.9289
2000-03-24,1.5873
2000-03-27,2.9018
2000-03-28,-2.6029999999999998
2000-03-29,-1.5590000000000002
2000-03-30,2.0362
2000-03-31,4.6563
2000-04-03,2.7542
2000-04-04,2.0619
2000-04-05,5.2525
2000-04-06,-1.9194
2000-04-07,-0.7828
2000-04-10,0.9862
2000-04-11,0.5859
2000-04-12,4.8544
2000-04-13,-0.5556
2000-04-14,-12.1043
2000-04-17,-5.2966
2000-04-18,6.9351
2000-04-19,2.0921
2000-04-20,-2.8689
2000-04-24,4.6414
2000-04-25,5.0403
2000-04-26,-5.1823
2000-04-27,-8.0972
2000-04-28,-1.9824000000000002
2000-05-01,6.9663
2000-05-02,-1.6806999999999999
2000-05-03,-8.3333
2000-05-04,0.2331
2000-05-05,2.7907
2000-05-08,0.4525
2000-05-09,0.9009
2000-05-10,-2.9018
2000-05-11,-2.069
2000-05-12,-4.9296
2000-05-15,0.2469
2000-05-16,1.9704000000000002
2000-05-17,-3.3816
