ticker,LMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2821
2000-01-04,-1.2987
2000-01-05,0.0
2000-01-06,2.6316
2000-01-07,2.5641
2000-01-10,-1.25
2000-01-11,1.2658
2000-01-12,0.0
2000-01-13,7.5
2000-01-14,2.3256
2000-01-18,6.8182
2000-01-19,1.0638
2000-01-20,-5.2632
2000-01-21,1.1111
2000-01-24,4.3956
2000-01-25,0.0
2000-01-26,10.526299999999999
2000-01-27,-0.9524
2000-01-28,-1.9231
2000-01-31,1.9607999999999999
2000-02-01,-1.9231
2000-02-02,0.9804
2000-02-03,-1.9417
2000-02-04,0.9901
2000-02-07,1.9607999999999999
2000-02-08,0.0
2000-02-09,-1.9231
2000-02-10,0.0
2000-02-11,0.9804
2000-02-14,-0.9709
2000-02-15,1.9607999999999999
2000-02-16,-0.9615
2000-02-17,0.0
2000-02-18,1.9417
2000-02-22,0.9524
2000-02-23,0.9434
2000-02-24,0.0
2000-02-25,2.8037
2000-02-28,1.8182
2000-02-29,8.9286
2000-03-01,3.2787
2000-03-02,3.9683
2000-03-03,0.7634
2000-03-06,-1.5152
2000-03-07,-13.8462
2000-03-08,-1.7856999999999998
2000-03-09,-5.4545
2000-03-10,9.6154
2000-03-13,-1.7544
2000-03-14,-1.7856999999999998
2000-03-15,-1.8182
2000-03-16,3.7037
2000-03-17,3.5714
2000-03-20,3.4483
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,3.3333
2000-03-24,0.8065
2000-03-27,-2.4
2000-03-28,-5.7377
2000-03-29,-0.8696
2000-03-30,0.8772
2000-03-31,3.4783
2000-04-03,0.8403
2000-04-04,-2.5
2000-04-05,3.4188
2000-04-06,0.8264
2000-04-07,-1.6393
2000-04-10,0.0
2000-04-11,5.8333
2000-04-12,0.7874
2000-04-13,-0.7813
2000-04-14,-7.874
2000-04-17,-2.5641
2000-04-18,7.0175
2000-04-19,6.5574
2000-04-20,-0.7692
2000-04-24,-0.7752
2000-04-25,0.0
2000-04-26,0.7813
2000-04-27,-0.7752
2000-04-28,-1.5625
2000-05-01,0.7937
2000-05-02,0.0
2000-05-03,2.3622
2000-05-04,-3.0769
2000-05-05,2.3810000000000002
2000-05-08,0.0
2000-05-09,0.7752
2000-05-10,-3.0769
2000-05-11,0.7937
2000-05-12,-2.3622
2000-05-15,6.4516
2000-05-16,3.0303
2000-05-17,-2.2059
2000-05-18,-0.7519
2000-05-19,-1.5152
2000-05-22,-3.0769
2000-05-23,1.5873
