ticker,WL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0155
2000-01-04,-0.5398
2000-01-05,2.171
2000-01-06,1.992
2000-01-07,1.6926999999999999
2000-01-10,0.128
2000-01-11,-0.8951
2000-01-12,-0.3871
2000-01-13,12.9534
2000-01-14,1.1468
2000-01-18,-3.9683
2000-01-19,-1.6529
2000-01-20,-4.0816
2000-01-21,-1.7522
2000-01-24,-2.1656
2000-01-25,1.3021
2000-01-26,3.599
2000-01-27,0.7444
2000-01-28,-2.0049
2000-01-31,1.2674
2000-02-01,0.3755
2000-02-02,-1.8702999999999999
2000-02-03,1.7789000000000001
2000-02-04,0.7491
2000-02-07,-1.9827
2000-02-08,1.0114
2000-02-09,-2.2528
2000-02-10,-1.9205999999999999
2000-02-11,0.0
2000-02-14,-0.9138
2000-02-15,2.2398
2000-02-16,-1.0309
2000-02-17,-0.9115
2000-02-18,-2.4967
2000-02-22,0.1348
2000-02-23,-0.4038
2000-02-24,-1.2162
2000-02-25,0.684
2000-02-28,1.3587
2000-02-29,0.6702
2000-03-01,-0.9321
2000-03-02,-2.6882
2000-03-03,-0.1381
2000-03-06,-1.1065
2000-03-07,-2.2378
2000-03-08,0.0
2000-03-09,-0.2861
2000-03-10,-1.8651
2000-03-13,-1.7544
2000-03-14,-1.1905000000000001
2000-03-15,3.6145
2000-03-16,11.6279
2000-03-17,-4.2969
2000-03-20,-2.7211
2000-03-21,3.0769
2000-03-22,0.4071
2000-03-23,1.4865
2000-03-24,-0.5326
2000-03-27,-2.4096
2000-03-28,2.6063
2000-03-29,-1.738
2000-03-30,0.1361
2000-03-31,5.7065
2000-04-03,3.856
2000-04-04,-1.4851
2000-04-05,1.2563
2000-04-06,-1.861
2000-04-07,-3.5398
2000-04-10,1.7038
2000-04-11,1.1598
2000-04-12,3.1847
2000-04-13,-1.358
2000-04-14,-5.0063
2000-04-17,1.3175
2000-04-18,3.6411
2000-04-19,-2.6349
2000-04-20,1.0309
2000-04-24,-2.1684
2000-04-25,1.6949
2000-04-26,-3.4615
2000-04-27,-1.3014999999999999
2000-04-28,0.2717
2000-05-01,2.5745
2000-05-02,-2.1136
2000-05-03,1.7544
2000-05-04,-0.6631
2000-05-05,-0.534
2000-05-08,3.3557
2000-05-09,-0.2597
2000-05-10,-1.5625
2000-05-11,2.9101
2000-05-12,0.2571
2000-05-15,2.1795
2000-05-16,-1.5056
2000-05-17,-1.7833999999999999
2000-05-18,2.594
2000-05-19,-1.2642
