ticker,BRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1419
2000-01-04,0.0
2000-01-05,-0.33
2000-01-06,0.0
2000-01-07,1.3245
2000-01-10,1.634
2000-01-11,1.9293
2000-01-12,0.0
2000-01-13,1.1041
2000-01-14,-0.468
2000-01-18,-0.3135
2000-01-19,-0.9434
2000-01-20,0.6349
2000-01-21,-4.7318999999999996
2000-01-24,-2.649
2000-01-25,-2.3810000000000002
2000-01-26,-1.0453
2000-01-27,-1.4085
2000-01-28,-4.2857
2000-01-31,2.4254
2000-02-01,0.9107
2000-02-02,0.361
2000-02-03,5.3957
2000-02-04,2.0478
2000-02-07,6.0334
2000-02-08,-1.2658
2000-02-09,-1.9231
2000-02-10,-3.268
2000-02-11,-0.6757
2000-02-14,-1.1905000000000001
2000-02-15,-5.852
2000-02-16,-0.9141
2000-02-17,5.9041
2000-02-18,-1.3937
2000-02-22,-3.8869
2000-02-23,-4.7794
2000-02-24,-0.3861
2000-02-25,-3.1008
2000-02-28,3.4
2000-02-29,2.1277
2000-03-01,0.0
2000-03-02,-1.3258
2000-03-03,1.1516
2000-03-06,-3.0361
2000-03-07,2.1526
2000-03-08,-0.7663
2000-03-09,1.7375
2000-03-10,0.1898
2000-03-13,-1.8939
2000-03-14,3.0888
2000-03-15,2.2472
2000-03-16,6.2271
2000-03-17,1.7241
2000-03-20,0.678
2000-03-21,-1.0101
2000-03-22,2.0408
2000-03-23,1.3333
2000-03-24,2.6316
2000-03-27,0.1603
2000-03-28,0.16
2000-03-29,-0.4792
2000-03-30,0.8026
2000-03-31,-1.4331
2000-04-03,0.8078
2000-04-04,0.0
2000-04-05,1.6026
2000-04-06,-0.6309
2000-04-07,0.4762
2000-04-10,1.4218
2000-04-11,0.3115
2000-04-12,-1.5528
2000-04-13,-1.5773000000000001
2000-04-14,-1.4423
2000-04-17,0.6504
2000-04-18,-1.2924
2000-04-19,0.6547
2000-04-20,0.6504
2000-04-24,-0.1616
2000-04-25,2.589
2000-04-26,3.4699999999999998
2000-04-27,-0.4573
2000-04-28,-1.6844999999999999
2000-05-01,0.7788
2000-05-02,0.4637
2000-05-03,-0.6031
2000-05-04,0.6211
2000-05-05,-0.463
2000-05-08,-0.155
2000-05-09,0.3106
2000-05-10,-2.1672
2000-05-11,2.2152
2000-05-12,0.6192
2000-05-15,5.8462
2000-05-16,0.2907
2000-05-17,2.029
2000-05-18,-0.2841
2000-05-19,-0.1425
2000-05-22,1.2839
2000-05-23,-0.7042
