ticker,BEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9828
2000-01-04,1.1166
2000-01-05,1.1043
2000-01-06,3.3981
2000-01-07,4.108
2000-01-10,-1.4656
2000-01-11,-2.746
2000-01-12,0.8235
2000-01-13,-0.1167
2000-01-14,-0.8178
2000-01-18,-1.4134
2000-01-19,2.27
2000-01-20,-2.5701
2000-01-21,-0.2398
2000-01-24,-2.7644
2000-01-25,0.7417
2000-01-26,1.8405
2000-01-27,-0.9639
2000-01-28,1.4599
2000-01-31,0.3597
2000-02-01,0.1195
2000-02-02,0.716
2000-02-03,0.3555
2000-02-04,-0.8264
2000-02-07,0.119
2000-02-08,-0.9512
2000-02-09,-0.3601
2000-02-10,-0.7229
2000-02-11,-2.9126
2000-02-14,1.625
2000-02-15,2.214
2000-02-16,0.1877
2000-02-17,-2.4096
2000-02-18,-5.679
2000-02-22,3.2723
2000-02-23,2.0279
2000-02-24,-2.2359999999999998
2000-02-25,-3.4307
2000-02-28,-0.3947
2000-02-29,1.7173
2000-03-01,5.1948
2000-03-02,-1.1111
2000-03-03,2.4969
2000-03-06,-2.0705999999999998
2000-03-07,-2.7363
2000-03-08,2.3018
2000-03-09,5.125
2000-03-10,-0.8323
2000-03-13,2.8777
2000-03-14,-3.6131
2000-03-15,8.3434
2000-03-16,5.692
2000-03-17,-0.9504
2000-03-20,2.5586
2000-03-21,0.8316
2000-03-22,0.6186
2000-03-23,-1.332
2000-03-24,0.4154
2000-03-27,1.8614000000000002
2000-03-28,-2.132
2000-03-29,-1.0373
2000-03-30,-0.4193
2000-03-31,8.1053
2000-04-03,-1.85
2000-04-04,0.0992
2000-04-05,2.6759
2000-04-06,-1.2548
2000-04-07,-1.564
2000-04-10,0.8937
2000-04-11,-0.2953
2000-04-12,1.7769
2000-04-13,-2.9098
2000-04-14,-2.8971
2000-04-17,-2.1605
2000-04-18,5.9937000000000005
2000-04-19,0.1984
2000-04-20,-2.0792
2000-04-24,1.1122
2000-04-25,3.0
2000-04-26,-0.9709
2000-04-27,1.7647
2000-04-28,-0.0963
2000-05-01,-0.675
2000-05-02,-3.1068
2000-05-03,-1.7034
2000-05-04,-1.1213
2000-05-05,0.6186
2000-05-08,-1.7418
2000-05-09,0.1043
2000-05-10,1.8292000000000002
2000-05-11,2.1538
2000-05-12,-0.4016
2000-05-15,1.8145
2000-05-16,-0.198
2000-05-17,-1.2897
2000-05-18,0.3015
2000-05-19,-3.006
2000-05-22,-1.1364
2000-05-23,0.5225
