ticker,BSX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.1429
2000-01-04,1.6303999999999998
2000-01-05,7.2193
2000-01-06,2.7431
2000-01-07,-3.6408
2000-01-10,-3.2746
2000-01-11,-1.3021
2000-01-12,-3.4301
2000-01-13,-0.8197
2000-01-14,1.3774
2000-01-18,1.087
2000-01-19,-2.4194
2000-01-20,-6.8871
2000-01-21,-2.071
2000-01-24,2.1148
2000-01-25,-1.4793
2000-01-26,1.8018
2000-01-27,-0.295
2000-01-28,-1.1834
2000-01-31,-0.5988
2000-02-01,-1.8072
2000-02-02,3.0675
2000-02-03,-5.0595
2000-02-04,-2.1944
2000-02-07,-1.9231
2000-02-08,0.6536
2000-02-09,9.4156
2000-02-10,-5.3412
2000-02-11,-4.7022
2000-02-14,1.9737
2000-02-15,1.2903
2000-02-16,-3.5032
2000-02-17,3.6304
2000-02-18,-1.9108
2000-02-22,0.974
2000-02-23,-2.2508
2000-02-24,-1.9737
2000-02-25,-4.0268
2000-02-28,0.6993
2000-02-29,1.3889
2000-03-01,-1.9048
2000-03-02,-0.502
2000-03-03,1.0526
2000-03-06,4.1667
2000-03-07,-3.6667
2000-03-08,5.8824
2000-03-09,11.4379
2000-03-10,0.2933
2000-03-13,-2.0468
2000-03-14,-1.194
2000-03-15,3.0211
2000-03-16,16.129
2000-03-17,-7.0707
2000-03-20,-4.6196
2000-03-21,-1.1396
2000-03-22,1.7290999999999999
2000-03-23,0.0
2000-03-24,1.1331
2000-03-27,-1.6806999999999999
2000-03-28,-2.5641
2000-03-29,-2.0468
2000-03-30,-3.2836
2000-03-31,5.2469
2000-04-03,-2.9326
2000-04-04,2.1148
2000-04-05,-0.5917
2000-04-06,1.1905000000000001
2000-04-07,-1.1764999999999999
2000-04-10,0.5952
2000-04-11,-0.2959
2000-04-12,3.5608
2000-04-13,3.1519
2000-04-14,-3.3333
2000-04-17,-2.8736
2000-04-18,9.1716
2000-04-19,9.4851
2000-04-20,-3.7129
2000-04-24,4.3702
2000-04-25,9.8522
2000-04-26,-2.2422
2000-04-27,-0.9174
2000-04-28,-1.8519
2000-05-01,0.2358
2000-05-02,3.5294
2000-05-03,-2.0455
2000-05-04,-2.3202
2000-05-05,0.9501
2000-05-08,3.0588
2000-05-09,3.4247
2000-05-10,-5.7395
2000-05-11,-5.3864
2000-05-12,-4.703
2000-05-15,4.4156
2000-05-16,-0.4975
2000-05-17,1.25
2000-05-18,3.7037
2000-05-19,-1.1905000000000001
