ticker,EGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.5744
2000-01-04,-1.1111
2000-01-05,1.8727
2000-01-06,-0.3676
2000-01-07,1.845
2000-01-10,-1.8115999999999999
2000-01-11,-0.738
2000-01-12,-1.1152
2000-01-13,1.8797000000000001
2000-01-14,-1.845
2000-01-18,0.7519
2000-01-19,3.7313
2000-01-20,6.4748
2000-01-21,1.6892
2000-01-24,-3.6545
2000-01-25,-2.4138
2000-01-26,-3.8869
2000-01-27,1.4706000000000001
2000-01-28,1.4493
2000-01-31,-1.4285999999999999
2000-02-01,-0.7246
2000-02-02,2.5547
2000-02-03,-0.7117
2000-02-04,1.0753
2000-02-07,-0.7092
2000-02-08,-1.4285999999999999
2000-02-09,-4.3478
2000-02-10,2.2727
2000-02-11,-6.0593
2000-02-14,0.0
2000-02-15,0.3984
2000-02-16,-1.5873
2000-02-17,-0.4032
2000-02-18,-2.0243
2000-02-22,1.2397
2000-02-23,-1.6327
2000-02-24,-1.6598000000000002
2000-02-25,1.2658
2000-02-28,0.8333
2000-02-29,7.438
2000-03-01,-3.8462
2000-03-02,4.8
2000-03-03,-4.1985
2000-03-06,0.0
2000-03-07,-0.3984
2000-03-08,6.4
2000-03-09,-1.8797000000000001
2000-03-10,-8.8123
2000-03-13,-0.4202
2000-03-14,-0.4219
2000-03-15,0.0
2000-03-16,5.0847
2000-03-17,2.4194
2000-03-20,-1.1811
2000-03-21,3.1873
2000-03-22,4.2471
2000-03-23,5.9259
2000-03-24,2.7972
2000-03-27,-2.7211
2000-03-28,-2.7972
2000-03-29,3.2374
2000-03-30,-0.3484
2000-03-31,-10.8392
2000-04-03,8.2353
2000-04-04,5.7971
2000-04-05,-2.3973
2000-04-06,-0.3509
2000-04-07,0.7042
2000-04-10,-4.1958
2000-04-11,1.4599
2000-04-12,0.0
2000-04-13,0.7194
2000-04-14,2.5
2000-04-17,0.3484
2000-04-18,-0.3472
2000-04-19,-1.7422
2000-04-20,-0.7092
2000-04-24,-1.7856999999999998
2000-04-25,8.3636
2000-04-26,-3.0201
2000-04-27,1.3841
2000-04-28,0.0
2000-05-01,-0.6826
2000-05-02,-1.0309
2000-05-03,-1.3889
2000-05-04,0.0
2000-05-05,1.0563
2000-05-08,-0.6969
2000-05-09,-0.3509
2000-05-10,-0.7042
2000-05-11,7.3191
2000-05-12,-3.3333
2000-05-15,1.3793
2000-05-16,-0.3401
2000-05-17,-1.7065000000000001
2000-05-18,-1.0417
2000-05-19,-1.4035
