ticker,UAWGQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.5848
2000-01-04,-3.2946
2000-01-05,-2.4048
2000-01-06,-4.1068
2000-01-07,-1.9272
2000-01-10,2.1834
2000-01-11,-2.9915000000000003
2000-01-12,-4.4053
2000-01-13,-3.9171
2000-01-14,-0.9592
2000-01-18,-2.6634
2000-01-19,1.2438
2000-01-20,-1.7199
2000-01-21,-5.0
2000-01-24,-0.7895
2000-01-25,-2.6525
2000-01-26,-1.9074
2000-01-27,-1.6667
2000-01-28,-1.1299
2000-01-31,0.8571
2000-02-01,-1.4163999999999999
2000-02-02,5.1724
2000-02-03,-3.0055
2000-02-04,-3.0986
2000-02-07,0.8721
2000-02-08,1.1527
2000-02-09,-1.7094
2000-02-10,-7.5362
2000-02-11,-5.3292
2000-02-14,1.6556
2000-02-15,-1.6287
2000-02-16,2.649
2000-02-17,0.6452
2000-02-18,0.0
2000-02-22,1.2821
2000-02-23,-2.8481
2000-02-24,-2.2801
2000-02-25,-0.3333
2000-02-28,-0.6689
2000-02-29,0.6734
2000-03-01,0.0
2000-03-02,-2.6756
2000-03-03,7.9038
2000-03-06,-1.5924
2000-03-07,-8.7379
2000-03-08,20.2128
2000-03-09,-4.7198
2000-03-10,3.4056
2000-03-13,2.3952
2000-03-14,-2.924
2000-03-15,14.4578
2000-03-16,-1.8420999999999998
2000-03-17,-4.5576
2000-03-20,-1.9663
2000-03-21,5.4441
2000-03-22,-1.6303999999999998
2000-03-23,3.5911999999999997
2000-03-24,-4.5333
2000-03-27,10.0559
2000-03-28,5.0761
2000-03-29,-1.6907999999999999
2000-03-30,-3.4398
2000-03-31,13.2316
2000-04-03,-0.4494
2000-04-04,2.4831
2000-04-05,3.5242
2000-04-06,0.8511
2000-04-07,-1.2658
2000-04-10,1.9231
2000-04-11,-0.2096
2000-04-12,-3.5714
2000-04-13,-6.1002
2000-04-14,-10.9049
2000-04-17,1.5625
2000-04-18,4.8718
2000-04-19,8.0685
2000-04-20,2.9412000000000003
2000-04-24,-3.7363
2000-04-25,8.2192
2000-04-26,-0.8439
2000-04-27,-2.766
2000-04-28,-2.6258
2000-05-01,-0.2247
2000-05-02,-0.2252
2000-05-03,-2.9345
2000-05-04,-1.8605
2000-05-05,3.5545
2000-05-08,2.0595
2000-05-09,-3.3632
2000-05-10,0.6961
2000-05-11,2.5346
2000-05-12,-2.9213
2000-05-15,-1.3889
2000-05-16,0.0
2000-05-17,2.8169
2000-05-18,-3.653
