ticker,ZQKSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4355
2000-01-04,-4.2194
2000-01-05,-1.7621
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,-0.4484
2000-01-11,0.0
2000-01-12,-1.8018
2000-01-13,-0.9174
2000-01-14,-0.463
2000-01-18,-1.8605
2000-01-19,-5.6872
2000-01-20,-4.0201
2000-01-21,8.377
2000-01-24,-6.7633
2000-01-25,1.5544
2000-01-26,0.5102
2000-01-27,-1.5228000000000002
2000-01-28,-2.0619
2000-01-31,2.1053
2000-02-01,-0.5155
2000-02-02,2.5907
2000-02-03,5.5556
2000-02-04,5.2632
2000-02-07,-5.9091000000000005
2000-02-08,0.4831
2000-02-09,-7.6923
2000-02-10,-0.5208
2000-02-11,-1.0471
2000-02-14,-1.0582
2000-02-15,2.1390000000000002
2000-02-16,-2.6178
2000-02-17,-9.6774
2000-02-18,-8.3333
2000-02-22,3.8961
2000-02-23,-1.25
2000-02-24,3.1646
2000-02-25,6.135
2000-02-28,5.2023
2000-02-29,12.0879
2000-03-01,10.2941
2000-03-02,2.6667
2000-03-03,-3.0303
2000-03-06,-1.7856999999999998
2000-03-07,-1.8182
2000-03-08,-1.8519
2000-03-09,5.1887
2000-03-10,-1.3453
2000-03-13,10.4545
2000-03-14,15.2263
2000-03-15,-3.5714
2000-03-16,-4.4444
2000-03-17,-0.3876
2000-03-20,-1.1673
2000-03-21,-2.3622
2000-03-22,4.0323
2000-03-23,-3.1008
2000-03-24,6.4
2000-03-27,-2.6316
2000-03-28,-3.4749
2000-03-29,4.0
2000-03-30,10.7692
2000-03-31,-2.4306
2000-04-03,0.3559
2000-04-04,-3.1915
2000-04-05,7.326
2000-04-06,4.4369
2000-04-07,1.9607999999999999
2000-04-10,6.0897
2000-04-11,-2.719
2000-04-12,-3.1056
2000-04-13,0.0
2000-04-14,-9.2949
2000-04-17,3.8869
2000-04-18,6.1224
2000-04-19,-3.2051
2000-04-20,1.9868000000000001
2000-04-24,-1.2987
2000-04-25,-0.6579
2000-04-26,0.0
2000-04-27,-2.3179
2000-04-28,2.3729
2000-05-01,-1.6556
2000-05-02,-9.4276
2000-05-03,-12.2677
2000-05-04,0.8475
2000-05-05,5.4622
2000-05-08,1.1952
2000-05-09,-7.0866
2000-05-10,0.0
2000-05-11,7.2034
2000-05-12,0.0
2000-05-15,1.1858
2000-05-16,0.3906
2000-05-17,-3.1128
2000-05-18,-1.6064
2000-05-19,-4.4898
