ticker,LQI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.9545
2000-01-04,0.0
2000-01-05,2.1053
2000-01-06,7.2165
2000-01-07,5.7692
2000-01-10,0.0
2000-01-11,-6.3636
2000-01-12,1.9417
2000-01-13,-0.9524
2000-01-14,-2.8846
2000-01-18,-1.9802
2000-01-19,-3.0303
2000-01-20,-2.0833
2000-01-21,2.1277
2000-01-24,0.0
2000-01-25,2.0833
2000-01-26,-1.0204
2000-01-27,-3.0928
2000-01-28,2.1277
2000-01-31,-39.5833
2000-02-01,-13.7931
2000-02-02,4.0
2000-02-03,7.6923
2000-02-04,-1.7856999999999998
2000-02-07,-9.0909
2000-02-08,0.0
2000-02-09,4.0
2000-02-10,-3.8462
2000-02-11,4.0
2000-02-14,1.9231
2000-02-15,-1.8868
2000-02-16,-1.9231
2000-02-17,-3.9215999999999998
2000-02-18,-6.1224
2000-02-22,-10.8696
2000-02-23,-4.878
2000-02-24,5.1282
2000-02-25,9.7561
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,8.8889
2000-03-02,0.0
2000-03-03,-14.2857
2000-03-06,4.7619
2000-03-07,-2.2727
2000-03-08,0.0
2000-03-09,6.9767
2000-03-10,0.0
2000-03-13,-6.5217
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,-2.3256
2000-03-17,0.0
2000-03-20,2.3810000000000002
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,-2.3256
2000-03-24,0.0
2000-03-27,2.3810000000000002
2000-03-28,-6.9767
2000-03-29,-2.5
2000-03-30,-5.1282
2000-03-31,-18.9189
2000-04-03,20.0
2000-04-04,0.0
2000-04-05,-2.7778
2000-04-06,-2.8571
2000-04-07,5.8824
2000-04-10,11.1111
2000-04-11,-7.5
2000-04-12,0.0
2000-04-13,-5.4054
2000-04-14,0.0
2000-04-17,-2.8571
2000-04-18,2.9412000000000003
2000-04-19,0.0
2000-04-20,-5.7143
2000-04-24,-3.0303
2000-04-25,0.0
2000-04-26,3.125
2000-04-27,3.0303
2000-04-28,-11.7647
2000-05-01,6.6667
2000-05-02,0.0
2000-05-03,-3.125
2000-05-04,0.0
2000-05-05,3.2258
2000-05-08,-3.125
2000-05-09,3.2258
2000-05-10,0.0
2000-05-11,-3.125
2000-05-12,3.2258
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,-3.125
2000-05-24,0.0
2000-05-25,0.0
2000-05-26,0.0
